"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"1","4217","Male","IB","3: Somewhat true","2","3: Somewhat true","4","3: Somewhat true","4","5: Very true","1: Not at all true","3: Somewhat true","4","1: Not at all true","5: Very true","2","1: Not at all true","1: Not at all true"
"2","4216","Male","IB","1: Not at all true","2","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","2","4","2","3: Somewhat true","1: Not at all true","1: Not at all true"
"3","4232","Male","IB","4","5: Very true","4","4","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4"
"4","4233","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","4","5: Very true","4","4","3: Somewhat true"
"5","4235","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","4","4","5: Very true","4","5: Very true","4","4","5: Very true"
"6","4230","Female","IB","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"7","4420","Male","IB","4","5: Very true","4","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","4","5: Very true"
"8","4421","Male","IB","5: Very true","5: Very true","4","5: Very true","5: Very true","2","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true"
"9","4234","Female","IB","5: Very true","3: Somewhat true","1: Not at all true","4","2","5: Very true","3: Somewhat true","1: Not at all true","4","2","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true"
"10","4219","Male","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
