"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Q08",1,337,0.762611275964392,0.426115140924205,1,0.826568265682657,0,0,1,1,-1.22892612287853,-0.491171677698943,0.0232119708017448
"Q09",2,337,0.596439169139466,0.433410227848939,0.5,0.619926199261993,0.7413,0,1,1,-0.38043422869489,-1.56720120426466,0.0236093595082945
"Q10",3,266,0.616541353383459,0.487145005900718,1,0.644859813084112,0,0,1,1,-0.476668041706092,-1.77943483656553,0.0298687767151366
"Q11",4,339,0.412979351032448,0.493096996037649,0,0.391941391941392,0,0,1,1,0.351914335658929,-1.88168090226444,0.0267813526186895
"Q12",5,339,0.725663716814159,0.446838750364787,1,0.78021978021978,0,0,1,1,-1.00706593575248,-0.98870866656519,0.0242689495847187
"Q13",6,337,0.41839762611276,0.494029636660707,0,0.398523985239852,0,0,1,1,0.329373884913003,-1.89711587837781,0.0269115091205001
"Q14",7,341,0.539589442815249,0.478095309603314,0.5,0.549450549450549,0.7413,0,1,1,-0.157690824384159,-1.89081206497991,0.0258903125637212
"Q15",8,310,0.719354838709677,0.450040886196305,1,0.774193548387097,0,0,1,1,-0.971677237167303,-1.05922903069727,0.0255606047210228
"Q16",9,337,0.338278931750742,0.473827505848759,0,0.298892988929889,0,0,1,1,0.680590222321149,-1.54134428165391,0.0258110289321573
"Q17",10,337,0.780415430267062,0.414580761560925,1,0.848708487084871,0,0,1,1,-1.34875210296553,-0.181379593593713,0.0225836531211855
"Q18",11,336,0.5,0.50074571256948,0.5,0.5,0.7413,0,1,1,0,-2.00594352324263,0.0273179182354076
"Q19",12,337,0.560830860534125,0.497023783082414,1,0.575645756457565,0,0,1,1,-0.244054130180389,-1.9461862253205,0.0270746106689832
"Q20",13,339,0.651917404129793,0.417538056541793,1,0.688644688644689,0,0,1,1,-0.614721794755419,-1.2952205688681,0.0226775543429072
"Q21",14,338,0.559171597633136,0.451888776156078,0.5,0.573529411764706,0.7413,0,1,1,-0.23360216957613,-1.73887326990975,0.024579509074004
"Q22",15,311,0.845659163987138,0.361857394257259,1,0.931726907630522,0,0,1,1,-1.90432875048557,1.63174574461353,0.0205190503420848
"Q24",16,339,0.469026548672566,0.499777402406116,0,0.461538461538462,0,0,1,1,0.123583355572682,-1.99057297167609,0.0271441824879195
"Q08post",17,341,0.882697947214076,0.322252722749247,1,0.978021978021978,0,0,1,1,-2.3681765205184,3.61889841200065,0.0174509633307441
"Q09Post",18,303,0.627062706270627,0.484385614162127,1,0.65843621399177,0,0,1,1,-0.522903049563561,-1.73225677924334,0.0278272264524698
"Q10post",19,297,0.686868686868687,0.464550014322156,1,0.732217573221757,0,0,1,1,-0.801806021435871,-1.36165783855202,0.0269559258557956
"Q11post",20,335,0.585074626865672,0.493446188677898,1,0.605947955390335,0,0,1,1,-0.343788946806487,-1.88741653384663,0.0269598452717527
"Q12post",21,334,0.730538922155689,0.444345532141339,1,0.787313432835821,0,0,1,1,-1.03454932810576,-0.932472656532425,0.0243135057668892
"Q13post",22,335,0.570149253731343,0.495795171323929,1,0.587360594795539,0,0,1,1,-0.28213204572838,-1.92612442852031,0.027088183903474
"Q14Post",23,299,0.354515050167224,0.479168059385377,0,0.319502074688797,0,0,1,1,0.605208862544771,-1.63917089032625,0.027711004366385
"Q15post",24,299,0.795986622073579,0.403654380480174,1,0.867219917012448,0,0,1,1,-1.46163011985504,0.136853831651762,0.0233439355585267
"Q16post",25,335,0.576119402985075,0.494911094731433,1,0.594795539033457,0,0,1,1,-0.306690157866819,-1.9116207723187,0.0270398816393387
"Q17post",26,335,0.761194029850746,0.426991713406178,1,0.825278810408922,0,0,1,1,-1.21976299775087,-0.51368491170137,0.0233290494280532
"Q18post",27,335,0.617910447761194,0.486625116421701,1,0.646840148698885,0,0,1,1,-0.48315827649745,-1.77182039053058,0.0265871702834075
"Q19post",28,334,0.697604790419162,0.459984605540599,1,0.746268656716418,0,0,1,1,-0.856607620938017,-1.26999891021316,0.0251692377902299
"Q20post",29,275,0.752727272727273,0.43221317456561,1,0.81447963800905,0,0,1,1,-1.16520402098287,-0.644603982630302,0.0260634350815001
"Q21post",30,277,0.729241877256318,0.445155650983182,1,0.7847533632287,0,0,1,1,-1.02622212588923,-0.950259636945201,0.0267468108428064
"Q22post",31,326,0.911042944785276,0.285119383356263,1,1,0,0,1,1,-2.87445961781178,6.28181566716591,0.0157913021377883
"Q24post",32,335,0.495522388059702,0.500727864172099,0,0.494423791821561,0,0,1,1,0.0178310266071881,-2.00564234114067,0.0273576857032874
