,ID,Gender,Certificate ,Age,FM_Per.ACC,PostScore,PreScore,FM_EFF2,SS_ACC,CB_PerCorrect,CB_EFF,SE_P,PAV,PAp,MG_P,SE_S.x,TV.x,MG_S.x,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,Avg_EF,Avg-SALES,Avg_PG,SelfEfficacy_P,PerfAvGoals,PerfAppGoals,MasteryGoals_P,Average.of.RTc,Average.of.EFF,Average.of.ACC,Per.Correct,Eff2,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per.ACC,FM_EFF,CB_ACC,CB_RTc_mean,CB_PerCorrect
31,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.72,8.45,71.88
32,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
33,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
34,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.72,8.45,71.88
35,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
36,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,71.88,8.50,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,0.51,-0.25,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
37,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.72,8.45,71.88
38,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
39,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.84,1.56,1.78,0.64,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
40,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.72,8.45,71.88
