"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4279,"Male","IGCSE (British)",13.46,181.1716,2438.5697360000004,14.5,13.0,84.26,94.53,71.88,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.7,0.51,-0.25,-0.45,0.39,1.29,144.76,0.84,1.59,8.45
4764,"Male","American Diploma",13.95,194.6025,2714.704875,14.0,15.0,75.0,95.31,66.67,-0.17,1.66,1.74,-0.15,-0.16,0.71,0.76,1.59,0.99,0.37,0.99,0.44,1.7,0.55,209.48,0.75,0.89,8.14
4898,"Female","IGCSE (British)",14.82,219.63240000000002,3254.9521680000003,14.0,12.0,93.98,95.7,67.74,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.7,0.14,-0.13,0.23,0.23,0.46,0.93,104.64,0.94,1.09,9.61
4261,"Female","IGCSE (British)",13.09,171.3481,2242.946629,15.0,15.0,85.19,89.06,65.63,0.18,-0.12,0.33,0.21,0.02,-0.44,-0.24,1.11,1.68,0.57,1.12,-0.22,0.1,0.51,224.74,0.85,0.92,7.6
4364,"Female","IGCSE (British)",15.12,228.6144,3456.649728,14.0,15.0,88.89,96.09,68.75,-0.08,-0.21,-0.49,-0.41,-0.37,-0.6,-0.93,-0.74,0.45,-1.65,-0.65,-0.63,-0.35,0.78,142.63,0.89,1.73,18.97
4752,"Male","Other?",11.66,135.9556,1585.2422960000001,2.0,15.0,84.92,100.0,68.97,-0.94,0.62,0.71,0.04,-0.24,0.25,0.21,0.01,0.13,-1.97,-0.61,0.08,0.66,0.84,164.05,0.85,1.39,23.7
4781,"Male","IB",15.13,228.91690000000003,3463.5126970000006,14.0,15.0,91.67,97.66,64.52,-0.06,-1.07,-1.21,-0.64,-0.21,-0.98,-0.67,-1.34,-0.75,1.14,-0.32,-0.62,-1.14,1.46,78.71,0.92,2.31,6.5
4878,"Female","IGCSE (British)",15.03,225.90089999999998,3395.2905269999997,14.0,15.0,93.52,94.53,65.52,0.49,0.02,-0.39,0.75,0.82,0.84,1.06,0.47,-0.08,0.8,0.4,0.91,-0.18,1.02,80.64,0.94,1.15,7.16
4884,"Female","IGCSE (British)",15.05,226.50250000000003,3408.8626250000007,15.0,15.0,80.56,94.53,60.87,-0.72,0.67,0.98,0.42,0.17,1.02,0.95,-0.32,0.19,1.91,0.59,0.71,0.83,0.78,151.05,0.81,1.46,5.22
4917,"Male","IGCSE (British)",15.07,227.10490000000001,3422.4708430000005,12.0,15.0,100.0,96.88,65.63,0.14,-0.43,-0.64,0.2,-0.39,0.11,-0.35,0.31,-0.91,0.57,-0.01,-0.21,-0.54,1.78,48.15,1.0,1.23,7.6
4324,"Male","IGCSE (British)",15.1,228.01,3442.9509999999996,14.5,14.0,97.22,95.31,70.0,0.58,0.12,0.39,0.82,0.87,1.62,1.44,0.76,-0.93,1.38,0.4,1.31,0.26,1.76,54.73,0.97,1.07,6.69
4245,"Female","IGCSE (British)",13.61,185.23209999999997,2521.0088809999997,10.0,16.0,93.52,100.0,71.88,0.73,0.49,-0.17,0.54,0.15,-0.21,-0.1,-0.68,-0.34,-0.43,-0.49,-0.05,0.16,1.16,141.52,0.94,1.76,11.28
4276,"Male","IGCSE (British)",12.48,155.7504,1943.7649920000001,14.0,16.0,91.67,93.65,59.38,0.41,-1.18,-0.94,0.46,-0.15,0.66,0.33,0.1,1.51,0.24,0.62,0.28,-1.06,0.57,170.0,0.92,1.26,7.53
4363,"Female","IGCSE (British)",14.76,217.8576,3215.578176,15.0,16.0,99.07,98.44,64.29,0.61,1.69,1.77,0.86,0.67,0.19,0.33,-0.07,-1.12,-0.7,-0.63,0.39,1.73,2.1,48.21,0.99,1.4,11.15
4428,"Male","IGCSE (British)",13.44,180.63359999999997,2427.7155839999996,16.0,16.0,91.67,89.06,65.63,-0.7,0.87,0.86,-0.4,0.23,-0.26,0.02,0.36,-0.86,0.94,0.15,-0.0,0.87,1.57,142.31,0.92,1.11,6.94
4780,"Female","IB",14.26,203.3476,2899.7367759999997,15.0,14.0,90.74,96.09,78.13,-0.34,-1.03,-0.91,-0.47,-0.22,-0.03,-0.11,0.56,0.79,-2.16,-0.27,-0.12,-0.97,0.7,138.87,0.91,1.14,31.47
4888,"Female","IGCSE (British)",14.66,214.9156,3150.6626960000003,12.0,14.0,99.07,99.22,50.0,0.78,0.82,0.9,-0.18,0.86,-0.03,0.33,-1.86,-1.67,-2.37,-1.97,0.39,0.86,4.14,33.14,0.99,3.23,24.95
4896,"Female","IGCSE (British)",14.74,217.26760000000002,3202.524424,16.0,16.0,98.15,98.44,60.0,-0.91,0.22,-0.05,-0.15,0.32,0.36,0.75,0.38,-0.74,-0.89,-0.42,0.48,0.08,1.55,65.21,0.98,1.23,11.22
4904,"Male","IGCSE (British)",13.05,170.3025,2222.4476250000002,16.0,16.0,93.52,96.09,75.0,0.45,-0.71,-0.7,0.28,0.93,0.63,0.47,0.81,0.18,-0.03,0.32,0.68,-0.71,0.91,104.45,0.94,1.07,10.3
4908,"Female","IGCSE (British)",13.13,172.39690000000002,2263.5712970000004,15.0,16.0,92.59,96.09,68.75,0.11,-1.0,-0.9,0.01,0.34,0.23,0.04,0.37,-0.47,0.42,0.11,0.2,-0.95,1.23,103.35,0.93,1.2,8.28
4911,"Female","IGCSE (British)",14.92,222.6064,3321.287488,16.0,16.0,86.11,96.09,61.29,-0.01,-1.29,-1.29,-0.11,0.47,0.52,0.73,1.13,1.63,0.01,0.92,0.57,-1.29,0.52,219.17,0.86,0.99,8.32
4342,"Female","IGCSE (British)",14.8,219.04000000000002,3241.7920000000004,16.0,14.0,98.15,100.0,68.75,-0.24,-0.38,-0.92,0.15,0.36,0.35,0.18,-0.4,-0.82,-1.2,-0.81,0.3,-0.65,1.63,59.81,0.98,1.58,14.83
4355,"Male","IGCSE (British)",15.35,235.6225,3616.805375,14.5,15.0,96.3,98.44,70.0,-1.0,0.16,-0.07,-0.46,-0.55,-1.03,-0.71,-0.31,0.29,0.63,0.2,-0.77,0.05,0.9,98.95,0.96,1.51,7.98
4517,"Female","IGCSE (British)",13.51,182.52009999999999,2465.8465509999996,13.0,14.0,98.15,97.66,60.0,-0.45,0.72,0.38,-0.43,-0.24,0.87,0.5,-0.9,-0.36,-1.36,-0.87,0.38,0.55,1.23,71.35,0.98,1.88,14.02
4846,"Male","IB",13.85,191.8225,2656.7416249999997,15.0,15.0,74.07,90.63,60.0,0.85,-0.46,-0.98,0.04,0.47,-0.57,0.14,0.72,1.09,1.4,1.07,0.01,-0.72,0.52,235.48,0.74,1.03,5.71
4900,"Male","IGCSE (British)",14.03,196.84089999999998,2761.6778269999995,16.0,14.0,84.26,100.0,71.88,0.01,0.6,0.53,-0.25,0.27,-0.14,0.05,-0.31,-0.09,-0.71,-0.37,0.06,0.56,0.92,130.51,0.84,1.53,12.52
4901,"Female","IGCSE (British)",14.07,197.9649,2785.366143,15.0,14.0,96.3,96.09,68.75,-0.63,-0.29,-0.31,-0.73,0.24,-0.44,0.03,0.85,-0.27,0.97,0.52,-0.06,-0.3,1.15,88.47,0.96,1.06,7.21
4914,"Female","IGCSE (British)",14.9,222.01000000000002,3307.9490000000005,14.0,14.0,100.0,100.0,53.13,-0.33,0.48,0.56,0.13,-0.03,0.78,0.81,-1.15,-1.58,0.08,-0.88,0.52,0.52,3.59,30.23,1.0,2.15,7.06
4243,"Female","IGCSE (British)",13.42,180.0964,2416.8936879999997,11.0,13.0,73.15,93.75,65.52,-0.26,0.21,-0.12,-0.16,-0.74,-0.61,-0.73,-0.48,0.04,0.87,0.14,-0.69,0.04,0.76,153.79,0.73,1.53,7.04
