,ID,Gender,Certificate,Age,PostScore,PreScore,SS_ACC,FM_ACC,CB_ACC..2.,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,FM_stdres,CB_stdres,CBresid,SS_stdres,PostScore_stdres,PostScore_stdres,MG_S_stdres,SE_S_stdres,TV_stdres,MG_P_stdres,SE_P_stdres,PAV_stdres,PAp_stdres
1,4279,Male,IGCSE (British),13.46,14.5,13,84.26,94.53,71.88,-0.57,-0.7,0.51,-0.65,0.60,-0.61,-0.69,1.07,1.07,-0.64,-0.31,-0.64,1.27,0.83,0.62,0.28
2,4764,Male,American Diploma,13.95,14,15,75,95.31,66.67,1.59,0.99,0.37,1.46,0.35,1.37,0.94,0.76,0.76,1.03,-0.22,0.98,-0.24,-0.29,2.23,2.35
3,4898,Female,IGCSE (British),14.82,14,12,93.98,95.7,67.74,0.7,0.14,-0.13,0.38,-0.35,0.36,-0.02,0.46,0.46,-0.24,1.36,0.09,-0.23,1.23,1.00,0.58
4,4261,Female,IGCSE (British),13.09,15,15,85.19,89.06,65.63,1.11,1.68,0.57,1.33,0.73,1.25,1.73,1.33,1.33,-0.23,0.04,-0.48,0.23,0.17,-0.32,0.29
5,4364,Female,IGCSE (British),15.12,14,15,88.89,96.09,68.75,-0.74,0.45,-1.65,-1.11,-2.00,-1.03,0.25,0.36,0.36,-1.16,-0.52,-0.69,-0.50,-0.06,-0.10,-0.39
6,4752,Male,Other?,11.66,2,15,84.92,100,68.97,0.01,0.13,-1.97,0.79,-1.66,0.73,0.37,-1.77,-1.77,0.38,-0.35,0.40,-0.25,-1.67,0.43,0.51
7,4781,Male,IB,15.13,14,15,91.67,97.66,64.52,-1.34,-0.75,1.14,-1.75,0.91,-1.63,-0.95,0.36,0.36,-0.83,-0.28,-1.18,-0.87,-0.03,-1.26,-1.35
8,4878,Female,IGCSE (British),15.03,14,15,93.52,94.53,65.52,0.47,-0.08,0.8,0.17,0.58,0.16,-0.27,0.39,0.39,1.39,1.23,1.15,1.39,0.80,0.20,-0.27
9,4884,Female,IGCSE (British),15.05,15,15,80.56,94.53,60.87,-0.32,0.19,1.91,-0.67,1.73,-0.63,-0.00,0.66,0.66,1.24,0.27,1.38,0.86,-1.05,1.08,1.56
10,4917,Male,IGCSE (British),15.07,12,15,100,96.88,65.63,0.31,-0.91,0.57,0.01,0.33,0.01,-1.10,-0.18,-0.18,-0.42,-0.55,0.22,0.50,0.27,-0.40,-0.60
11,4324,Male,IGCSE (British),15.1,14.5,14,97.22,95.31,70,0.76,-0.93,1.38,0.50,1.17,0.47,-1.13,0.50,0.50,1.87,1.30,2.15,1.52,0.95,0.35,0.79
12,4245,Female,IGCSE (British),13.61,10,16,93.52,100,71.88,-0.68,-0.34,-0.43,-0.83,-0.41,-0.78,-0.35,-0.22,-0.22,-0.06,0.23,-0.19,0.85,1.05,0.59,-0.27
13,4276,Male,IGCSE (British),12.48,14,16,91.67,93.65,59.38,0.1,1.51,0.24,0.56,0.50,0.53,1.64,1.27,1.27,0.52,-0.21,0.92,0.56,0.47,-1.87,-1.52
14,4363,Female,IGCSE (British),14.76,15,16,99.07,98.44,64.29,-0.07,-1.12,-0.7,-0.45,-0.93,-0.42,-1.27,0.76,0.76,0.46,1.00,0.32,1.54,0.97,2.41,2.56
