"","ID","Gender","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","PostScore","PreScore","DoB","Certificate"
"1","4219","Male",13.120218579235,97.66,47.14,86.11,12.81,68.75,10.0582547514863,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.954633848743219,0.669801970703643,0.899296515317599,6,9.5,"2007-01-25","IB"
"2","4224","Female",12.5775731716446,96.88,51.85,76.85,23.33,55.5555555555556,7.2506010748291,0.66958983839888,0.0542521466330295,0.485808939884523,0.432625736984657,0.446503760370459,0.699867864155713,0.358041742245193,8,3.5,"2007-08-11","IB"
"3","4229","Female",12.4460663223295,90.63,27.13,94.44,42.36,47.8260869565217,6.50485875317448,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.778624557468589,0.612361720940821,0.698335483337959,10,9,"2007-09-28","IB"
"4","4230","Female",13.3172991990418,53.13,171.58,77.67,49.59,61.5384615384615,11.8870396906398,0.390381123436307,1.25855440502761,0.761675205872058,-1.77557937962167,0.672764238663077,-0.0179861737964614,0.13711767764309,14,8.5,"2006-11-14","IB"
"5","4232","Male",13.4762033086309,93.75,52.73,78.7,69.68,54.8387096774194,10.0235258046828,-0.162785889013803,-0.00193245981377124,0.417496516698118,-0.0174488937577568,-0.351003351282885,-0.194091477972615,-0.588401395770294,12,8,"2006-09-17","IB"
"6","4235","Male",12.9008608428775,98.44,75.16,93.52,29.4,65.3846153846154,8.97610864259496,0.335480864424464,0.551000086214245,0.724433244580487,0.354239385830545,-0.000152919570038099,0.518911074347604,-0.142152056108413,8,4,"2007-04-15","IB"
"7","4236","Male",12.3364772812336,92.19,51.64,86.11,28.21,46.6666666666667,11.3753757936646,0.514987166327833,0.405192160427595,1.19592646802299,0.300417603925463,-0.272768145269553,-0.337211449354634,-0.389501598672413,7,7,"2007-11-07","IB"
"8","4240","Male",14.292349726776,94.53,81.82,91.67,97.75,62.0689655172414,7.77779511511257,-1.31666029500038,0.65857446875566,0.572943341832966,-1.71439748890997,-1.18649011302832,-2.07690702676355,-1.75755386981057,6.5,3,"2006-01-01","IGCSE (British)"
"9","4241","Male",12.7800658731941,93.75,56.82,89.81,49.28,57.6923076923077,10.0308862131933,0.576013333204498,-0.556158934401216,-0.975604411425122,0.768385247605594,1.24132435142007,1.22711383213452,1.00422287750467,14,12,"2007-07-01","IGCSE (British)"
"10","4242","Male",12.4512987499064,96.88,53.22,93.46,88.38,42.1052631578947,3.06694077449839,-0.612658125199969,0.821897292913676,0.185171296458103,-0.679219021983132,-2.99274816398913,-3.46546886290522,-3.56269960376151,3,9.5,"2007-10-29","IGCSE (British)"
