"","ID","Gender","Certificate","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","sum"
"1","4217","Male","IB",3,2,3,4,3,4,5,1,3,4,1,5,2,1,1,1,2,3,5,53
"2","4216","Male","IB",1,2,3,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1,38
"3","4232","Male","IB",4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,70
"4","4233","Male","IB",5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4,83
"5","4235","Male","IB",5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4,81
"6","4230","Female","IB",1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,67
"7","4420","Male","IB",4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5,76
"8","4421","Male","IB",5,5,4,5,5,2,1,3,1,1,3,1,1,1,5,3,4,5,2,57
"9","4234","Female","IB",5,3,1,4,2,5,3,1,4,2,5,3,5,3,1,3,2,5,3,60
"10","4219","Male","IB",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
"11","4229","Female","IB",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
"12","4236","Male","IB",5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5,82
"13","4227","Female","IB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14","4228","Female","IB",5,5,5,5,5,1,1,1,1,1,3,1,5,1,3,4,5,5,5,62
"15","4224","Female","IB",5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5,75
"16","4226","Female","IB",5,5,5,5,NA,1,1,5,1,1,1,1,1,1,5,4,5,5,5,57
"17","4225","Female","IB",5,2,5,5,NA,5,5,1,1,1,4,1,5,2,5,4,5,5,5,66
"18","4254","Female","IGCSE (British)",4,5,3,5,4,3,3,1,2,1,4,3,3,4,3,4,5,5,4,66
"19","4267","Female","IGCSE (British)",3,5,2,4,5,5,5,1,5,5,3,5,5,1,5,3,5,5,5,77
"20","4255","Female","IGCSE (British)",5,5,5,5,3,1,1,1,1,1,3,1,3,1,3,5,5,5,5,59
"21","4261","Female","IGCSE (British)",5,4,5,5,4,3,3,3,3,3,4,2,1,3,5,4,5,4,4,70
"22","4246","Male","IGCSE (British)",3,3,5,4,4,1,1,1,1,1,3,3,3,3,3,3,5,4,5,56
"23","4251","Female","IGCSE (British)",3,4,5,4,5,1,4,2,3,4,3,3,5,4,4,2,3,4,4,67
"24","4241","Male","IGCSE (British)",5,5,5,5,5,1,1,1,1,1,3,1,3,3,4,4,5,5,5,63
"25","4247","Male","IGCSE (British)",4,5,4,4,5,1,1,1,1,1,3,3,1,1,5,4,5,5,5,59
"26","4256","Female","IGCSE (British)",5,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,89
"27","4253","Female","IGCSE (British)",5,4,4,5,5,2,2,3,3,3,5,5,4,4,4,2,5,5,4,74
"28","4263","Female","IGCSE (British)",4,4,4,5,4,5,5,4,3,1,5,3,5,2,5,3,5,5,5,77
"29","4244","Male","IGCSE (British)",3,4,3,5,4,1,1,4,3,2,5,5,5,4,3,3,5,4,4,68
"30","4252","Female","IGCSE (British)",5,4,3,5,5,2,5,3,3,3,3,3,3,3,4,4,4,4,4,70
"31","4257","Female","IGCSE (British)",5,4,5,5,4,5,5,5,3,3,5,3,3,2,4,4,5,5,5,80
"32","4264F","Female","IGCSE (British)",3,3,3,5,2,1,1,1,1,1,3,1,3,1,5,4,5,5,5,53
"33","4259","Female","IGCSE (British)",5,5,5,5,5,4,4,3,3,4,4,4,5,2,5,4,5,5,5,82
"34","4242","Male","IGCSE (British)",2,2,5,5,4,3,1,1,3,3,5,4,5,5,3,3,4,3,4,65
"35","4265","Female","IGCSE (British)",3,2,3,2,3,3,4,5,3,3,3,4,2,4,3,2,4,3,4,60
"36","4282A","Male","IGCSE (British)",2,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,87
"37","4276","Male","IGCSE (British)",5,5,5,5,4,2,1,1,1,1,2,1,1,1,5,4,5,4,5,58
"38","4272","Female","IGCSE (British)",5,5,3,5,5,1,1,1,1,1,3,1,3,1,3,1,5,5,3,53
"39","4284","Female","IGCSE (British)",3,4,2,3,4,2,1,3,2,2,4,2,2,2,3,4,4,2,2,51
"40","4292F","Female","IGCSE (British)",3,5,5,5,5,3,3,2,1,1,4,1,5,5,5,4,5,4,4,70
"41","4280","Male","IGCSE (British)",4,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5,90
"42","4294F","Female","IGCSE (British)",5,4,5,5,5,2,2,2,1,1,2,1,3,1,5,4,5,4,5,62
"43","4287","Female","IGCSE (British)",5,5,5,5,5,3,3,2,1,1,2,2,2,1,2,2,5,5,5,61
"44","4275","Male","IGCSE (British)",4,5,5,5,4,2,1,1,3,3,5,2,5,4,5,5,5,5,4,73
"45","4273","Male","IGCSE (British)",4,5,5,4,5,4,3,4,1,1,3,1,4,4,5,5,5,5,5,73
"46","4289","Female","IGCSE (British)",4,5,4,3,5,5,5,3,5,3,4,5,4,4,3,3,4,3,4,76
"47","4291F","Female","IGCSE (British)",4,5,5,5,5,5,4,2,2,2,5,1,5,4,4,3,5,5,4,75
"48","4277","Male","IGCSE (British)",3,NA,3,5,5,2,2,1,1,2,3,3,1,1,4,4,4,4,4,52
"49","4286","Female","IGCSE (British)",3,3,3,5,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,43
"50","4285","Female","IGCSE (British)",5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,5,4,5,74
"51","4270","Male","IGCSE (British)",5,5,3,5,4,5,4,3,5,5,5,5,5,3,4,3,5,4,5,83
"52","4293F","Female","IGCSE (British)",3,5,5,5,5,5,3,1,1,2,3,3,5,5,5,3,3,5,5,72
"53","4243","Female","IGCSE (British)",3,5,3,5,5,3,1,1,3,1,5,1,5,3,3,3,3,5,5,63
"54","4271","Male","IGCSE (British)",5,5,5,5,3,2,2,5,1,1,4,1,3,4,4,4,5,5,5,69
"55","4264","Male","IGCSE (British)",4,5,5,5,5,2,2,2,2,2,3,1,4,4,3,2,4,4,5,64
"56","4268","Female","IGCSE (British)",3,3,5,3,3,1,5,1,1,1,5,3,3,5,3,1,3,5,5,59
"57","4258","Male","IGCSE (British)",5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,88
"58","4249","Female","IGCSE (British)",5,5,4,5,5,3,3,4,3,3,5,1,3,3,5,4,4,5,5,75
"59","4240","Male","IGCSE (British)",3,1,1,3,1,5,3,3,3,3,5,1,5,5,3,3,3,1,3,55
"60","4260","Male","IGCSE (British)",5,5,4,4,4,2,2,2,1,1,3,1,4,3,4,3,5,5,5,63
"61","4269","Female","IGCSE (British)",4,4,3,5,4,4,4,3,3,3,5,5,5,5,4,3,4,4,5,77
"62","4248","Female","IGCSE (British)",5,5,4,5,5,4,2,3,1,1,3,2,3,2,5,4,5,5,4,68
"63","4290","Male","American Diploma",3,4,4,5,4,2,1,1,2,2,3,3,3,3,4,5,5,5,5,64
"64","4283","Male","American Diploma",3,2,2,5,3,2,3,1,1,2,3,4,1,1,2,3,4,5,4,51
"65","4288","Male","American Diploma",4,4,5,5,4,2,1,1,2,1,5,3,3,2,4,5,4,5,5,65
"66","4321","Female","IGCSE (British)",3,3,5,5,3,1,1,1,1,1,3,1,3,1,3,3,5,5,3,51
"67","4300","Female","IGCSE (British)",3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5,60
"68","4304","Male","IGCSE (British)",5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3,75
"69","4303","Female","IGCSE (British)",5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5,71
"70","4312","Male","National",3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3,58
"71","4322","Female","IGCSE (British)",4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3,64
"72","4313","Female","IGCSE (British)",3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2,50
"73","4315","Male","IGCSE (British)",5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5,72
"74","4319","Female","IGCSE (British)",4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4,80
"75","4318","Female","IGCSE (British)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"76","4296","Female","IGCSE (British)",3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3,63
"77","4308","Female","IGCSE (British)",5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3,74
"78","4036","Male","IGCSE (British)",3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3,52
"79","4307","Female","IGCSE (British)",5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5,70
"80","4301","Female","IGCSE (British)",5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5,80
"81","4294","Male","IGCSE (British)",3,5,2,4,3,5,5,1,5,5,5,5,5,5,3,2,3,3,5,74
"82","4299","Male","IGCSE (British)",4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,82
"83","4309","Male","IGCSE (British)",5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5,72
"84","4302","Female","IGCSE (British)",4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2,72
"85","4278","Male","American Diploma",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,44
"86","4291","Male","American Diploma",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,59
"87","4282K","Male","American Diploma",4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5,74
"88","4293","Male","American Diploma",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,81
"89","4443","Male","IGCSE (British)",3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5,74
"90","4327","Male","IGCSE (British)",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,77
"91","4330","Male","IGCSE (British)",3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,69
"92","4337","Male","IGCSE (British)",5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5,77
"93","4343","Female","IGCSE (British)",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,64
"94","4328","Male","IGCSE (British)",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,51
"95","4324","Male","IGCSE (British)",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,79
"96","4348","Female","IGCSE (British)",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,75
"97","4338","Female","IGCSE (British)",4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,79
"98","4332","Male","IGCSE (British)",4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,47
"99","4346","Female","IGCSE (British)",3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,66
"100","4347","Female","IGCSE (British)",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,78
"101","4339","Female","IGCSE (British)",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,65
"102","4353","Male","IGCSE (British)",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,74
"103","4367","Female","IGCSE (British)",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,67
"104","4365","Female","IGCSE (British)",3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5,55
"105","4357","Male","IGCSE (British)",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,86
"106","4373","Female","IGCSE (British)",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,69
