ID,Gender,Q01_imp,Q02_imp,Q03_imp,Q04_imp,Q05_imp,Q06_imp,Q07_imp,Q08_imp,Q09_imp,Q10_imp,Q11_imp,Q12_imp,Q13_imp,Q14_imp,Q15_imp,Q16_imp,Q17_imp,Q18_imp,Q19_imp,score
4219,Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4229,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4467,Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4482,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4710,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4765,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
4363,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,93
4563,Male,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,93
4748,Male,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,93
4778,Female,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,93
4753,Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,92
4514,Female,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,91
4660,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,91
4395,Male,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,91
4280,Male,4,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5,90
4906,Female,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,90
4923,Male,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,3,5,5,5,90
4256,Female,5,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,89
4505,Male,5,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5,89
4930,Female,5,5,5,3,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,89
4258,Male,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,88
4279F,Female,4,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5,88
4763B,Male,4,4,3,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,88
4760,Female,5,4,4,5,5,5,4,4,5,5,5,5,5,5,3,4,5,5,5,88
4773,Male,5,5,5,5,5,4,5,5,5,5,5,3,5,3,4,4,5,5,5,88
4955,Male,5,4,5,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,4,88
4282A,Male,2,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,87
4479,Female,5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5,87
4485,Male,5,5,4,5,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5,87
4488,Male,5,5,3,5,5,5,3,3,5,5,5,3,5,5,5,5,5,5,5,87
4495,Female,3,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,5,5,87
4722,Female,5,5,5,1,5,4,5,5,5,5,5,4,5,3,5,5,5,5,5,87
4769B,Male,5,5,5,5,5,3,5,5,5,5,5,3,3,3,5,5,5,5,5,87
4848,Female,4,5,4,5,5,4,4,4,4,5,5,3,5,5,5,5,5,5,5,87
4920,Female,3,5,5,5,5,3,4,4,3,5,5,5,5,5,5,5,5,5,5,87
4357,Male,4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,86
4494,Female,5,4,5,4,5,5,5,5,5,4,5,3,5,2,4,5,5,5,5,86
4543,Male,5,5,5,5,5,5,4,4,4,5,5,1,5,3,5,5,5,5,5,86
4609,Male,3,4,4,5,3,5,5,5,5,5,5,5,5,5,4,4,5,4,5,86
4606,Female,4,3,5,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,5,86
4764,Male,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,86
4815,Male,5,5,5,5,5,3,2,4,4,4,5,4,5,5,5,5,5,5,5,86
4832,Female,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,4,86
4847,Male,3,4,5,4,5,5,5,3,5,5,5,5,5,3,5,4,5,5,5,86
4871,Female,4,5,3,5,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5,86
4592,Male,4,5,5,5,5,5,5,2,3,2,5,5,5,5,5,4,5,5,5,85
4353F,Female,4,5,5,5,5,4,3,3,3,4,5,4,5,4,5,5,5,5,5,84
4704,Female,3,4,4,4,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5,84
4233,Male,5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4,83
4270,Male,5,5,3,5,4,5,4,3,5,5,5,5,5,3,4,3,5,4,5,83
4376,Male,5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,83
45710,Female,3,3,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5,83
4650,Female,5,5,5,5,5,5,5,3,5,5,5,1,5,3,4,4,5,5,3,83
4698,Female,4,5,5,4,5,5,3,5,3,2,4,4,5,4,5,5,5,5,5,83
4727,Female,5,5,4,5,5,4,4,4,4,5,5,4,4,4,5,4,4,4,4,83
4753B,Male,5,4,5,5,5,3,3,3,4,4,5,4,5,4,4,5,5,5,5,83
4754B,Male,5,5,5,4,5,5,3,5,1,1,5,5,5,5,4,5,5,5,5,83
4824I,Male,4,5,5,5,3,5,5,4,3,3,5,5,5,5,4,4,4,5,4,83
4821,Female,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,3,4,5,5,83
4947,Female,5,5,3,5,5,3,5,4,5,3,5,5,4,5,4,5,5,3,4,83
4236,Male,5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5,82
4259,Female,5,5,5,5,5,4,4,3,3,4,4,4,5,2,5,4,5,5,5,82
4299,Male,4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,82
4385,Male,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,82
4483,Male,4,4,5,4,4,3,4,4,5,5,5,4,5,4,4,3,5,5,5,82
4639,Female,5,5,5,5,5,3,5,4,4,4,5,3,5,3,4,3,5,4,5,82
4542,Female,3,4,4,5,5,5,4,5,5,4,5,4,4,4,3,4,4,5,5,82
4819,Male,5,5,4,5,5,4,3,3,4,3,5,2,5,5,5,5,4,5,5,82
4807,Male,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,4,4,5,82
4235,Male,5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4,81
4293,Male,4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,81
4480,Female,3,3,3,5,5,4,5,5,5,5,5,4,4,2,4,4,5,5,5,81
