"","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score","Q01_imp","Q02_imp","Q03_imp","Q04_imp","Q05_imp","Q06_imp","Q07_imp","Q08_imp","Q09_imp","Q10_imp","Q11_imp","Q12_imp","Q13_imp","Q14_imp","Q15_imp","Q16_imp","Q17_imp","Q18_imp","Q19_imp"
"1","4217","Male",3,2,3,4,3,4,5,1,3,4,1,5,2,1,1,1,2,3,5,54,3,2,3,4,3,4,5,1,3,4,1,5,2,1,1,1,2,3,5
"2","4216","Male",1,2,3,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1,40,1,2,3,2,3,2,3,2,3,2,4,2,3,1,1,1,1,1,1
"3","4232","Male",4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,73,4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4
"4","4233","Male",5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4,87,5,5,5,5,5,5,5,5,4,5,4,5,4,4,3,3,3,4,4
"5","4235","Male",5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4,86,5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4
"6","4230","Female",1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,73,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
"7","4420","Male",4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5,83,4,5,4,5,4,3,3,3,3,3,4,3,4,4,5,4,5,5,5
"8","4421","Male",5,5,4,5,5,2,1,3,1,1,3,1,1,1,5,3,4,5,2,65,5,5,4,5,5,2,1,3,1,1,3,1,1,1,5,3,4,5,2
"9","4234","Female",5,3,1,4,2,5,3,1,4,2,5,3,5,3,1,3,2,5,3,69,5,3,1,4,2,5,3,1,4,2,5,3,5,3,1,3,2,5,3
"10","4219","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,105,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11","4229","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"12","4236","Male",5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5,94,5,4,5,5,4,5,5,5,5,4,5,1,5,1,5,3,5,5,5
"13","4227","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,4,3,3,3,3,3,2,3,3,4,2,4,4,4,3,3,3,4
"14","4228","Female",5,5,5,5,5,1,1,1,1,1,3,1,5,1,3,4,5,5,5,76,5,5,5,5,5,1,1,1,1,1,3,1,5,1,3,4,5,5,5
"15","4224","Female",5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5,90,5,5,3,5,5,4,4,3,3,3,5,1,4,1,4,5,5,5,5
"16","4226","Female",5,5,5,5,NA,1,1,5,1,1,1,1,1,1,5,4,5,5,5,73,5,5,5,5,5,1,1,5,1,1,1,1,1,1,5,4,5,5,5
"17","4225","Female",5,2,5,5,NA,5,5,1,1,1,4,1,5,2,5,4,5,5,5,83,5,2,5,5,5,5,5,1,1,1,4,1,5,2,5,4,5,5,5
