,ID,Picture,Color,Gender,PostCCScore
1,2331,turtle,gold,Male,8
2,2919,82919,189#919,Female,1
3,4022,bear,lemon ,Male,3
4,4219,Bat,Blue,Male,7
5,4224,Butterfly ,Blue,Female,9
6,4229,Chick,Blue,Female,9
7,4230,Cobra,Blue,Female,13
8,4232,crocodile ,Blue,Male,13
9,4235,dolphin,blue,Male,9
10,4236,Donkey,Blue ,Male,8
11,4240,fox,blue,Male,5
12,4241,Frog,blue,Male,15
13,4242,girraffe,blue                     ,Male,4
14,4243,goat,blue,Female,11
15,4244,gorilla,blue,Male,6
16,4245,Grasshopper,blue,Female,10
17,4246,helicopter,blue,Male,15
18,4247,hippo,blue,Male,14
19,4248,Butterfly,Blue,Female,11
20,4249,Kangaroo ,Blue ,Female,14
21,4250,lion,blue,Male,14
22,4251,lizard,blue,Female,3
23,4254,Octopus ,Blue ,Female,9
24,4257,Pig,Blue,Female,12
25,4258,Rabbit,Blue,Male,8
26,4259,rhino,blue,Female,12
27,4260,Rocket ,Blue,Male,11
28,4261,seahorse,blue,Female,15
29,4262,sealion,blue,Female,8
30,4264,sheep,blue,Male,15
31,4267,star fish,blue,Female,11
32,4268,cat,dark yellow,Female,12
33,4268,submarine,blue,Female,12
34,4269,Tiger,Blue,Female,6
35,4271,train,blue,Male,15
36,4272,turtle,blue,Male,14
37,4272,cow,blue,Male,10
38,4273,whale,blue,Male,14
39,4274,zebra,blue,Male,11
40,4275,Airplane,dark yellow,Male,12
41,4276,ant,dark yellow,Male,14
42,4277,Balloon,Dark yellow ,Male,12
43,4278,Bat,Dark yellow,Male,13
44,4279,bear,dark yellow,Male,14
45,4279,bear,dark yellow,Female,12
46,4281,buffalo,dark yellow,Female,3
47,4281,Buffalo,Dark yellow,Male,15
48,4282,Bus,Dark yellow ,Male,5
49,4283,Butterfly ,Dark yellow,Female,6
50,4284,Camel,Dark yellow ,Female,7
51,4285,car,dark yellow,Female,13
52,4287,chick,dark yellow,Female,9
53,4288,cobra,darkyellow,Male,14
54,4289,cow,dark yellow,Female,8
55,4290,Crocodile,Dark yellow,Male,15
56,4291,Deer ,Dark yellow ,Male,15
57,4293,dolphin,yellow,Female,7
58,4293,dolphin ,dark yellow ,Male,7
59,4294,donkey ,dark yellow,Female,14
60,4294,Donkey ,Yellow,Male,9
61,4295,duck,purple,Female,16
62,4297,Elephant,Gold,Male,6
63,4299,frog,gold,Male,7
64,4300,Giraffe ,Gold,Female,4
65,4301,goat ,gold ,Female,7
66,4302,Gorilla,Gold,Female,12
67,4304,helicopter,gold,Male,10
68,4305,Hippo,Gold ,Female,7
69,4306,insect,gold,Male,5
70,4309,Lizard,Yellow,Male,15
71,4310,Llama,Gold,Female,8
72,4310,Llama,Gold,Female,8
73,4313,Owl,Gold,Female,12
74,4314,Penguin,Gold,Male,12
75,4315,Pig,Gold,Male,12
76,4316,Rabbit,Gold,Female,6
77,4318,Rocket,Gold,Female,4
78,4319,sailboat,gold,Female,6
79,4321,Sealion ,Gold ,Female,5
80,4322,shark,gold,Female,14
81,4323,sheep,gold,Male,15
82,4324,Ship,Gold,Male,14
83,4326,starfish,gold,Female,10
84,4327,submarine,gold,Male,15
85,4328,Tiger,Gold,Male,16
86,4333,Zebra,Gold,Male,16
87,4334,Plane,Green,Male,10
88,4335,ant,green,Female,4
89,4339,beaver,green,Female,12
90,4341,Buffalo ,Green,Male,14
91,4342,bus,green,Female,16
92,4343,butterfly,green,Female,8
93,4344,Camel,Green,Female,13
94,4347,CATERPILLAR,GREEN,Female,16
95,4348,chick,green,Female,8
96,4350,cow,green,Male,16
97,4352,Deer,Green,Male,1
98,4353,dog,green,Female,9
99,4355,donkey,green,Male,14
100,4356,dragonfly,green,Male,10
101,4357,Duck,Green,Male,6
102,4359,elephant,green,Male,16
103,4360,Flamingo,Green,Male,7
104,4362,frog,green,Male,12
105,4363,giraffe,green,Female,15
106,4364,goat,green,Female,14
107,4367,helicopter,green,Female,16
108,4368,hippo,green,Female,2
109,4368,sheep,green,Male,11
110,4371,bicycle,light blue ,Female,8
111,4372,Lizard ,Green,Male,11
112,4373,Llama,Green,Female,14
113,4374,mouse,green,Male,16
114,4376,Owl,Green,Male,11
115,4377,Penguin,Green,Male,6
116,4378,Pig,Green,Female,8
117,4379,rabbit ,green ,Female,6
118,4380,Rhino,Green,Female,8
119,4381,Rocket,Green,Male,16
120,4382,sailboat,green,Female,7
121,4383,seahorse,green,Male,5
122,4384,Sea lion ,Green,Female,14
123,4390,submarine,green,Male,14
124,4391,swan,green,Male,5
125,4394,Train,Green,Female,13
126,4396,Whale,Green,Female,10
127,4397,Zebra,Green,Female,14
128,4400,balloon,lemon,Female,5
129,4404,Buffalo,Lemon,Female,16
130,4406,BUTTERFLY,LEMON,Male,5
131,4407,Camel,Lemon,Male,11
132,4408,Car,Lemon ,Female,5
133,4408,caterpillar,strawberry,Male,12
134,4410,caterpillar,lemon,Female,10
135,4411,Chick,Yellow,Female,8
136,4413,Cow,lemon,Female,15
137,4415,Deer,Lemon,Male,5
138,4417,dolphin,lemon,Male,7
139,4418,Dragonfly,Lemon,Male,9
140,4419,Duck,Lemon,Male,7
141,4419,Duck,Yellow,Male,9
142,4421,Elephant,Lemon/yellow,Female,7
143,4422,flamingo,lemon,Male,4
144,4423,fox,lemon,Male,15
145,4426,goat,yellow ,Female,13
146,4428,Grasshopper,Lemon,Male,16
147,4429,Helicopter,Lemon,Female,12
148,4430,Hippo,Lemon,Female,14
149,4431,Insect ,Lemon ,Female,12
150,4432,kangaroo,lemon,Female,13
151,4433,koala,Lemon,Male,15
152,4435,lizard,light yellow,Female,14
153,4436,Llama,Lemon,Female,10
154,4437,mouse,lemon,Female,12
155,4440,pelican,lemon,Male,9
156,4447,Sealion ,Light yellow ,Female,12
157,4448,shark,yellow,Female,16
158,4449,sheep,light yellow,Female,15
159,4450,Ship,Light Yellow,Female,12
160,4451,snail,light yellow,Female,12
161,4452,Starfish light yellow ,Light yellow ,Female,15
162,4453,Submarine,Light yellow,Female,10
163,4454,Swan ,Light yellow ,Female,12
164,4455,Tiger ,Light yellow ,Female,14
165,4456,Tractor,Light yellow,Female,11
166,4457,Train ,Light yellow,Female,5
167,4458,Turtle ,Light yellow ,Female,16
168,4459,whale,light yellow,Female,16
169,4460,zebra,light yellow,Female,14
170,4461,plane,mint,Male,13
171,4465,bat,mint,Male,7
172,4466,Bear,Mint,Male,12
173,4467,Bicycle,mint,Male,5
174,4468,Youssuf Muhammad Kamal ,Buffalo,Mint,1
175,4475,Chick,Mint,Female,3
176,4476,cobra,mint,Female,8
177,4478,crocodile,mint,Female,5
178,4479,deer,mint,Female,11
179,4482,donkey ,mint,Female,3
180,4485,eagle,mint,Male,11
181,4488,Fox,mint,Male,4
182,4490,giraffe,mint,Male,1
183,4491,goat,mint,Female,6
184,4492,gorilla ,mint ,Female,2
185,4494,Helicopter,Mint,Female,2
186,4495,Hippo,Mint,Female,7
187,4498,koala,Mint ,Female,7
188,4499,Lion,Mint,Female,8
189,4500,lizard,mint,Female,14
190,4501,llama,blue,Female,3
191,4502,mouse,mint,Female,9
192,4503,Octopus ,Mint,Female,8
193,4504,owl,mint,Male,7
194,4505,Pelican ,Mint,Male,6
195,4507,rabbit,mint,Male,16
196,4509,Rocket,mint,Male,8
197,4513,shark ,mint,Female,0
198,4514,sheep,mint,Female,8
199,4515,Ship,Mint,Female,4
200,4517,starfish,mint,Female,13
201,4518,submarine,mint,Female,8
202,4519,Swan,Mint,Female,7
203,4524,whale,mint,Female,10
204,4528, Armadillo ,Pink,Female,6
205,4531,Bear,Pink,Male,8
206,4533,Bicycle,Pink,Male,13
207,4535,Bus,Pink,Female,6
208,4536,Butterfly ,Pink,Male,6
209,4537,camel,pink,Male,7
210,4538,Car,Pink,Male,8
211,4538,eagle,green,Female,7
212,4540,Caterpillar ,Pink,Male,14
213,4543,cow,pink,Male,8
214,4545,Deer,Pink,Male,6
215,4546,Dog,Pink,Male,10
216,4549,dragonfly,pink,Female,10
217,4550, duck,Pink,Female,4
218,4551,Eagle,Pink,Male,8
219,4558,gorilla,pink,Male,5
220,4559,grasshoper,pink,Male,15
221,4562,Insect ,Pink ,Female,5
222,4564,koala,pink,Male,15
223,4566,lizard,pink,Male,9
