"","ID","Q08post","Q09Post","Q10post","Q11post","Q12post","Q13post","Q14Post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post"
"1","2919",0,NA,NA,0,0,0,NA,NA,0,0,1,0,NA,NA,NA,0
"2","4022",0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0
"3","4219",1,1,1,0,1,0,0,0,0,1,0,0,NA,NA,1,0
"4","4224",1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0
"5","4229",1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
"6","4230",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"7","4232",1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1
"8","4235",1,0,1,0,0,1,0,0,0,0,1,1,NA,1,1,1
"9","4236",0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
"10","4240",1,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0
"11","4241",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"12","4242",0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0
"13","4243",1,0,NA,1,1,1,1,1,1,1,1,1,0,1,1,0
"14","4244",1,0,1,0,0,0,1,0,0,0,1,1,NA,1,1,0
"15","4245",1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
"16","4246",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17","4247",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"18","4248",1,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,0
"19","4249",1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"20","4250",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"21","4251",1,0,NA,1,0,0,1,0,0,0,0,0,1,0,NA,0
"22","4254",1,0,1,1,0,0,NA,NA,1,1,1,0,1,1,1,0
"23","4257",1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0
"24","4258",1,1,1,0,1,0,0,1,0,1,0,0,NA,NA,1,0
"25","4259",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"26","4260",1,1,1,0,1,0,0,1,0,1,0,1,1,NA,1,1
"27","4261",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"28","4262",0,1,0,1,1,0,0,NA,0,1,0,1,1,NA,1,0
"29","4264",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"30","4267",1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"31","4268",1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"32","4269",1,0,1,0,NA,1,NA,NA,1,1,0,0,0,NA,1,0
"33","4271",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"34","4272",1,1,0,1,0,1,0,1,1,0,1,1,NA,NA,1,0
"35","4273",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"36","4274",1,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,1
"37","4275",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"38","4276",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"39","4277",1,0,1,1,1,0,0,1,1,1,1,1,1,NA,1,0
"40","4278",1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
"41","4279",1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,0
"42","4281",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"43","4282",1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
"44","4283",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"45","4284",1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"46","4285",1,1,1,1,0,1,NA,NA,1,1,1,1,1,1,1,1
"47","4286",1,1,0,1,1,1,NA,NA,1,1,1,1,1,1,1,0
"48","4287",0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1
"49","4288",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"50","4289",1,1,0,0,1,0,0,0,0,1,0,1,NA,1,1,0
"51","4290",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"52","4291",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"53","4293",0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
"54","4294",1,NA,NA,1,0,1,0,1,1,0,1,1,0,NA,1,0
"55","4295",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"56","4297",1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
"57","4299",1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0
"58","4300",1,0,0,0,1,0,NA,NA,0,1,0,0,NA,0,1,0
"59","4301",1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1
"60","4302",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"61","4304",1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0
"62","4305",1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"63","4306",0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
"64","4309",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"65","4310",1,1,0,1,0,1,1,1,0,0,1,1,NA,NA,1,0
"66","4313",1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
"67","4314",1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
"68","4315",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
"69","4316",1,0,0,0,0,0,1,1,1,1,0,1,0,NA,1,0
"70","4318",1,0,0,1,0,1,NA,NA,0,0,1,0,NA,0,0,0
"71","4319",1,1,0,0,0,1,NA,NA,0,0,0,1,NA,NA,1,1
"72","4321",0,1,0,0,1,1,1,0,0,1,0,1,0,NA,0,0
"73","4322",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"74","4323",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"75","4324",1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1
"76","4326",1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0
"77","4327",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"78","4328",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"79","4333",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"80","4334",0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0
"81","4335",1,NA,NA,0,1,0,0,0,0,0,0,0,NA,0,1,0
"82","4339",1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"83","4341",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"84","4342",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"85","4343",1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
"86","4344",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0
"87","4347",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"88","4348",1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
"89","4350",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"90","4352",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","4353",1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
"92","4355",1,0,1,1,1,1,0,1,1,1,1,1,1,NA,1,1
"93","4356",1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"94","4357",1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
"95","4359",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"96","4360",1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0
"97","4362",1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1
"98","4363",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"99","4364",1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"100","4367",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"101","4368",1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"102","4371",0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
"103","4372",0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0
