"","ID","Q08post","Q09post","Q10post","Q11post","Q12post","Q13post","Q14post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post"
"1","4244",1,0,1,0,0,0,0,0,0,0,1,1,0.5,1,1,0
"2","4267",1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"3","4262",0,1,0,1,1,0,1,NA,0,1,0,1,1,0.5,1,0
"4","4246",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"5","4241",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"6","4254",1,0,1,1,0,0,NA,NA,1,1,1,0,1,1,1,0
"7","4247",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"8","4259",1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"9","4261",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","4242",0,1,0,0,0,0,1,0,0,0,0,1,0.5,0.5,1,0
"11","4257",1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0
"12","4251",1,0,NA,1,0,0,0,0,0,0,0,0,1,0,NA,0
"13","4250",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"14","4287",0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
"15","4272A",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"16","4289",1,1,0,0,1,0,1,0,0,1,0,1,0.5,1,1,0
"17","4294F",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"18","4277",1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,0
"19","4286",1,1,0,1,1,1,NA,NA,1,1,1,1,1,1,1,0
"20","4275",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
"21","4284",1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
"22","4293F",1,1,1,0,1,0,0,1,0,1,0,NA,0,0,1,0
"23","4276",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"24","4273",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"25","4285",1,1,1,1,0,1,NA,NA,1,1,1,1,1,1,1,1
"26","4268",1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
"27","4264",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"28","4258",1,1,1,0,1,0,1,1,0,1,0,0,0.5,0.5,1,0
"29","4248",1,1,0,1,1,1,0,1,1,1,1,1,0,0.5,1,0
"30","4274",1,1,1,0,1,1,0,1,1,1,1,0,0.5,0,1,1
