ID,PostScore
2919,2
4022,3
4219,8
4224,9
4229,9
4230,13
4232,13
4235,9.5
4236,8
4240,6
4241,15
4242,5
4243,11
4244,6.5
4245,10
4246,15
4247,14
4248,11.5
4249,14
4250,14
4251,3
4254,9
4257,12
4258,9
4259,12
4260,11.5
4261,15
4262,8.5
4264,15
4267,11
4268,12
4269,6.5
4271,15
4272,11
4273,14
4274,11.5
4275,12
4276,14
4277,12.5
4278,13
4279,14.5
4281,15
4282,5
4283,6
4284,7
4285,13
4286,12
4287,9
4288,14
4289,8.5
4290,15
4291,15
4293,7
4294,9.5
4295,16
4297,6
4299,7
4300,4.5
4301,7
4302,12
4304,10
4305,7
4306,5
4309,15
4310,9
4313,12
4314,12
4315,12
4316,6.5
4318,4.5
4319,7
4321,5.5
4322,14
4323,15
4324,14.5
4326,10
4327,15
4328,16
4333,16
4334,10
4335,4.5
4339,12
4341,14
4342,16
4343,8
4344,13.5
4347,16
4348,8
4350,16
4352,1
4353,9
4355,14.5
4356,10
4357,6
4359,16
4360,7
4362,12
4363,15
4364,14
4367,16
4368,11
4371,8
4372,11
4373,14
4374,16
4376,11
4377,6
4378,8
4379,6.5
4380,8
4382,7.5
4383,5.5
4384,14
4390,14
4391,5.5
4394,13
4396,10
4397,14
4400,5.5
4404,16
4406,5
4407,12
4408,12
4410,11
4411,8
4413,15
4415,5
4417,7
4418,9
4419,9
4421,7
4422,4
4423,15
4426,13
4428,16
4429,12
4430,14
4431,12.5
4432,13
4433,15
4435,14
4436,10
4437,12.5
4440,9
4447,12
4448,16
4449,15
4450,12.5
4451,12
4452,15
4453,10
4454,12
4455,14
4456,11
4457,5
4458,16
4459,16
4460,14.5
4461,13
4465,7
4466,13
4467,5
4468,5.5
4475,3.5
4476,9
4478,5.5
4479,11
4482,3.5
4485,11.5
4488,5
4490,1
4491,7
4492,3
4494,2
4495,7
4498,7
4499,8
4500,14
4501,4
4502,9.5
4503,8.5
4504,8
4505,6
4507,16
4509,8
4513,0
4514,8
4515,5
4517,13
4518,9
4519,7.5
4524,10.5
4528,6.5
4531,8
4533,13
4535,6.5
4536,7
4537,7
4538,8
4540,14
4543,8
4545,7
4546,10.5
4549,10
4550,4
4551,8
4558,5
4559,15
4562,5
4564,15
4566,9
4568,8.5
4574,5
4578,4
4584,10
4585,7.5
4586,8
4589,15
4592,13
4593,9.5
4596,3
4597,1
4598,12
4599,10
4602,9
4606,9
4607,14
4608,7
4609,7
4610,4
4615,4.5
4616,7
4617,6
4619,8
4621,7
4626,7
4627,9.5
4656,6.5
4668,15
4686,8.5
4693,3
4697,12
4702,7.5
4704,12
4708,12
4710,8
4712,13
4716,9
4717,12
4720,15
4722,10
4723,15
4725,12.5
4727,12
4730,15
4734,9
4737,6
4739,10
4740,14
4743,6
4746,7
4748,2.5
4750,1
4752,2
4753,10
4754,5
4755,5.5
4756,5.5
4757,9
4758,12
4760,15
4761,14
4762,6
4763,10
4764,14
4765,12
4767,14
4768,16
4770,9
4771,5
4773,7
4775,8
4777,15
4778,7
4779,15
4780,15
4781,14
4782,11
4783,8
4784,13.5
4785,14
4786,14.5
4787,12.5
4789,16
4795,15
4799,8
4801,5.5
4802,15
4803,14
4805,5.5
4806,10.5
4807,8
4813,13
4814,13.5
4815,5.5
4816,4
4817,6
4819,5
4821,6
4822,7
4824,13
4825,3
4826,13
4828,13
4829,9
4830,14.5
4831,10
4832,4.5
4833,4
4836,16
4838,10
4839,7.5
4841,10.5
4845,7
4846,15
4848,15
4850,7
4855,13
4860,5.5
4861,10.5
4862,13.5
4863,13
4868,7
4869,16
4870,13
4871,9.5
4874,8
4878,14
4879,15
4880,16
4884,15
4885,16
4886,13
4887,12
4888,12
4896,16
4897,15
4898,14
4899,16
4900,16
4901,15
4902,13
4903,9
4904,16
4906,13
4907,8
4908,15
4909,15
4910,11
4911,16
4912,14
4913,15
4914,14
4917,12
4919,16
4920,9
4921,11
4922,12.5
4926,14
4927,16
4928,14.5
4929,5
4930,11
4931,14
4932,11.5
4933,7.5
4934,14
4935,14
4936,14
4937,14
4941,12
4942,15
4943,14
4946,13.5
4947,10
4948,10
4949,5
4950,13
4952,10.5
4954,14
4956,14
4957,13
5762,3
8291,6
45710,7.5
45719,2
?,5
4272A,14
4279F,12
4281F,3
4293F,7
4294F,14
4310R,8
4368F,9
4381R,16
4408F,6
4419C,7.5
4538F,7
4739B,5
4755B,9
4756B,15
4760F,6
4765F,9.5
