"","ID","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q24"
"1","4036",0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
"2","4216",1,1,0,0,1,0,1,0,0,1,0,1,0.5,0.5,0,0
"3","4217",1,1,0,0,0,NA,0.5,NA,0,1,0,1,0,0.5,NA,0
"4","4219",1,1,1,0,1,1,1,0,0,1,0,0,1,0.5,1,0
"5","4224",NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,0.5,0,0,0
"6","4225",NA,NA,NA,0,0,NA,1,0,NA,0,NA,0,NA,NA,NA,1
"7","4226",0,NA,1,1,0,0,1,1,0,0,1,0,1,NA,NA,NA
"8","4227",0,1,0,0,0,NA,1,0,1,1,1,NA,NA,NA,NA,NA
"9","4228",1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1
"10","4229",1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1
"11","4230",0,0.5,NA,1,1,1,1,1,1,1,NA,0,0,NA,NA,1
"12","4232",1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0
"13","4233",1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0
"14","4234",0,1,0,1,0,1,0,0,1,1,0,0,0,1,NA,0
"15","4235",NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,1,1,1,NA,NA
"16","4236",0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
"17","4239",1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"18","4240",1,1,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,0,0
"19","4241",1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"20","4242",1,1,1,0,1,1,0,1,0,1,0,0,0.5,1,1,0
"21","4243",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"22","4244",1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
"23","4245",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"24","4246",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
"25","4247",1,0,0,0,1,0,1,1,0,1,1,1,0.5,0,1,0
"26","4248",1,1,0,0,1,1,1,NA,0,1,1,1,0.5,0.5,1,1
"27","4249",1,0,0,1,1,1,1,1,1,1,1,1,0.5,1,1,0
"28","4251",0,0.5,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA
"29","4252",0,0,0,1,0,1,1,0,0,0,0,1,0.5,0.5,1,0
"30","4253",1,0.5,NA,1,0,0,1,1,0,1,0,0,0,0.5,1,0
"31","4254",1,0.5,NA,0,0,1,0.5,NA,0,1,0,0,0,0,NA,0
"32","4255",1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,0
"33","4256",1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,0,0
"34","4257",0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0
"35","4258",1,1,1,0,1,1,0,1,0,1,1,1,0.5,1,1,0
"36","4259",0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0
"37","4260",1,0,0,0,1,0,0,1,0,1,1,1,1,0.5,1,1
"38","4261",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","4263",1,0,0,0,1,1,1,0,0,1,1,0,1,0.5,1,0
"40","4264",1,0.5,NA,1,1,1,0,1,1,1,1,1,1,1,1,1
"41","4264F",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"42","4265",0,0.5,NA,1,1,NA,1,1,NA,1,0,1,0,1,1,0
"43","4267",1,0.5,NA,0,1,0,1,1,0,1,1,1,1,0.5,1,0
"44","4268",1,0,1,1,1,1,0.5,NA,1,1,1,1,0,0,1,1
"45","4269",1,1,1,0,1,0,1,0,0,1,0,0,0,0.5,1,0
"46","4270",1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"47","4271",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
"48","4272",1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,1
"49","4273",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"50","4275",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"51","4276",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"52","4277",1,1,0,0,1,0,0,1,0,1,0,1,1,0.5,1,0
"53","4278",0,1,1,1,1,1,1,1,NA,0,1,1,1,0.5,1,0
"54","4279",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"55","4279F",1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0
"56","4280",0,0,1,0,0,0,1,1,0,0,1,1,0,0.5,0,1
"57","4281",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"58","4281F",1,0.5,NA,0,1,0,1,1,0,1,1,1,0,1,NA,1
"59","4282A",0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1
