"","ID","PreScore"
"1","4217",4
"2","4216",5
"3","4232",7
"4","4233",9
"5","4235",5
"6","4230",7
"7","4420",7
"8","4421",1
"9","4234",7
"10","4219",8
"11","4229",8
"12","4236",8
"13","4227",4
"14","4228",7
"15","4224",2
"16","4226",5
"17","4225",1
"18","4254",3
"19","4267",8
"20","4255",12
"21","4261",15
"22","4246",12
"23","4251",3
"24","4241",11
"25","4247",7
"26","4256",4
"27","4253",5
"28","4263",7
"29","4244",5
"30","4252",4
"31","4257",7
"32","4264F",3
"33","4259",7
"34","4242",10
"35","4265",7
"36","4282A",6
"37","4276",16
"38","4272",14
"39","4284",8
"40","4292F",6
"41","4280",5
"42","4294F",8
"43","4287",6
"44","4275",13
"45","4273",15
"46","4289",4
"47","4291F",9
"48","4277",9
"49","4286",12
"50","4285",12
"51","4270",4
"52","4293F",5
"53","4243",13
"54","4271",14
"55","4264",14
"56","4268",11
"57","4258",12
"58","4249",11
"59","4240",2
"60","4260",10
"61","4269",6
"62","4248",9
"63","4290",15
"64","4283",5
"65","4288",13
"66","4321",5
"67","4300",3
"68","4304",8
"69","4303",4
"70","4312",6
"71","4322",4
"72","4313",10
"73","4315",11
"74","4319",6
"75","4318",6
"76","4296",5
"77","4308",6
"78","4036",10
"79","4307",7
"80","4301",9
"81","4294",2
"82","4299",2
"83","4309",9
"84","4302",2
"85","4278",10
"86","4291",9
"87","4282K",9
"88","4293",6
"89","4443",15
"90","4327",13
"91","4330",6
"92","4337",15
"93","4343",4
"94","4328",15
"95","4324",14
"96","4348",8
"97","4338",14
"98","4332",13
"99","4346",7
"100","4347",14
"101","4339",8
"102","4353",9
"103","4367",16
"104","4365",12
"105","4357",7
"106","4373",13
"107","4359",16
"108","4352",15
"109","4362",10
"110","4363",16
"111","4366",14
"112","4356",11
"113","4364",15
"114","4355",15
"115","4325",11
"116","4342",14
"117","4391",6
"118","4393",4
"119","4390",11
"120","4385",16
"121","4384",8
"122","4392",11
"123","4380",7
"124","4386",6
"125","4394",13
"126","4383",6
"127","4382",5
"128","4379",7
"129","4376",10
"130","4404",10
"131","4410",10
"132","4411",8
"133","4406",8
"134","4400",4
"135","4396",7
"136","4407",6
"137","4399",7
"138","4413",12
"139","4401",13
"140","4397",6
"141","4416",5
"142","4429",8
"143","4442",6
"144","4428",16
"145","4424",7
"146","4433",14
"147","4283F",6
"148","4423",14
"149","4436",12
"150","4430",12
"151","4431",11
"152","4441",6
"153","4437",7
"154","4434",9
"155","4427",12
"156","4426",8
"157","4440",9
"158","4446",11
"159","4432",10
"160","4438",12
"161","4449",8
"162","4435",13
"163","4448",15
"164","4455",8
"165","4451",10
"166","4447",12
"167","4459",10
"168","4457",6
"169","4456",8
"170","4454",4
"171","4458",14
"172","4460",3
"173","4450",13
"174","4453",7
"175","4452",11
"176","4239",6
"177","4408",3
"178","4490",2
"179","4465",8
"180","4467",5
"181","4472",4
"182","4507",8
"183","4518",6
"184","4503",5
"185","4479",8
"186","4524",10
"187","4485",5
"188","4476",6
"189","4483",6
"190","4510",8
"191","4482",7
"192","4520",2
"193","4498",6
"194","4500",13
"195","4513",1
"196","4484",4
"197","4492",4
"198","4522",7
"199","4461",15
"200","4494",13
"201","4514",6
"202","4517",14
"203","4515",4
"204","4488",6
"205","4478",7
"206","4502",8
"207","4521",8
"208","4509",3
"209","4501",4
"210","4499",7
"211","4505",8
"212","4495",6
"213","4344",13
"214","4292BM",5
"215","4279",13
"216","4341",12
"217","4279F",11
"218","4281F",8
"219","4245",16
"220","4335",11
"221","4326",5
"222","4334",11
"223","4370",6
"224","4360",8
"225","4345",4
"226","4350",11
"227","4463",8
"228","4562",7
"229","4563",8
"230","4564",13
"231","4537",10
"232","4558",5
"233","4550",8
"234","4573",6
"235","4536",9
