,ID,Question,Response
2721,4217,Q13,4
2728,4421,Q13,4
2733,4227,Q13,4
545,4217,Q9,Agree
546,4216,Q9,Agree
548,4233,Q9,Agree
551,4420,Q9,Agree
553,4234,Q9,Agree
554,4219,Q9,Agree
557,4227,Q9,Agree
564,4255,Q9,Agree
565,4261,Q9,Agree
566,4246,Q9,Agree
576,4264F,Q9,Agree
577,4259,Q9,Agree
578,4242,Q9,Agree
581,4276,Q9,Agree
584,4292F,Q9,Agree
588,4275,Q9,Agree
589,4273,Q9,Agree
590,4289,Q9,Agree
592,4277,Q9,Agree
594,4285,Q9,Agree
598,4271,Q9,Agree
601,4258,Q9,Agree
603,4240,Q9,Agree
605,4269,Q9,Agree
606,4248,Q9,Agree
607,4290,Q9,Agree
608,4283,Q9,Agree
609,4288,Q9,Agree
614,4312,Q9,Agree
616,4313,Q9,Agree
619,4318,Q9,Agree
621,4308,Q9,Agree
622,4036,Q9,Agree
623,4307,Q9,Agree
624,4301,Q9,Agree
627,4309,Q9,Agree
629,4278,Q9,Agree
630,4291,Q9,Agree
633,4443,Q9,Agree
635,4330,Q9,Agree
636,4337,Q9,Agree
639,4324,Q9,Agree
640,4348,Q9,Agree
642,4332,Q9,Agree
643,4346,Q9,Agree
644,4347,Q9,Agree
647,4367,Q9,Agree
649,4357,Q9,Agree
650,4373,Q9,Agree
651,4359,Q9,Agree
654,4363,Q9,Agree
655,4366,Q9,Agree
656,4356,Q9,Agree
657,4364,Q9,Agree
658,4355,Q9,Agree
659,4325,Q9,Agree
660,4342,Q9,Agree
663,4390,Q9,Agree
664,4385,Q9,Agree
667,4380,Q9,Agree
670,4383,Q9,Agree
672,4379,Q9,Agree
674,4404,Q9,Agree
675,4410,Q9,Agree
676,4411,Q9,Agree
677,4406,Q9,Agree
679,4396,Q9,Agree
682,4413,Q9,Agree
686,4429,Q9,Agree
688,4428,Q9,Agree
690,4433,Q9,Agree
691,4283F,Q9,Agree
693,4436,Q9,Agree
696,4441,Q9,Agree
698,4434,Q9,Agree
701,4440,Q9,Agree
706,4435,Q9,Agree
707,4448,Q9,Agree
708,4455,Q9,Agree
711,4459,Q9,Agree
712,4457,Q9,Agree
713,4456,Q9,Agree
714,4454,Q9,Agree
715,4458,Q9,Agree
716,4460,Q9,Agree
719,4452,Q9,Agree
724,4467,Q9,Agree
729,4479,Q9,Agree
730,4524,Q9,Agree
734,4510,Q9,Agree
736,4520,Q9,Agree
737,4498,Q9,Agree
738,4500,Q9,Agree
740,4484,Q9,Agree
744,4494,Q9,Agree
746,4517,Q9,Agree
748,4488,Q9,Agree
749,4478,Q9,Agree
755,4505,Q9,Agree
757,4344,Q9,Agree
