"","ID","PostScore","PreScore"
"1","4219",6,9.5
"2","4224",8,3.5
"3","4229",10,9
"4","4230",14,8.5
"5","4232",12,8
"6","4235",8,4
"7","4236",7,7
"8","4240",6.5,3
"9","4241",14,12
"10","4242",3,9.5
"11","4243",12,14
"12","4244",7,6
"13","4245",11,15
"14","4246",16,13
"15","4247",13,8.5
"16","4248",12,11
"17","4249",14.5,12.5
"18","4251",4,2.5
"19","4254",8.5,4
"20","4257",10,6
"21","4258",7,11.5
"22","4259",12,8
"23","4260",10,9.5
"24","4261",14,16
"25","4264",14,13.5
"26","4267",11,10
"27","4268",13,11.5
"28","4269",6.5,7.5
"29","4271",15,13
"30","4272",9,13
"31","4273",13,14
"32","4275",13,14
"33","4276",13,15
"34","4277",12,8.5
"35","4278",11,11.5
"36","4279",14,24
"37","4281",14,24.5
"38","4283",5,6
"39","4284",6,7
"40","4285",12.5,13.5
"41","4286",11.5,11.5
"42","4287",9,7
"43","4288",13,12
"44","4289",7,6
"45","4290",14,14
"46","4291",14,10
"47","4293",8,6
"48","4293F",9,6
"49","4294",8.5,3.5
"50","4294F",13,9
"51","4295",15,12.5
"52","4297",6,5.5
"53","4299",8,4
"54","4300",5.5,5
"55","4301",8,10
"56","4302",13,4
"57","4304",9,9
"58","4305",6,7
"59","4309",14,9
"60","4310",9,7
"61","4313",10,9
"62","4314",13,7
"63","4315",12,12.5
"64","4316",7,8
"65","4318",4.5,7
"66","4319",7.5,8
"67","4321",7,7
"68","4322",13,5.5
"69","4324",16,15.5
"70","4326",11,5
"71","4327",14,12
"72","4328",14,14
"73","4334",10,10
"74","4335",3.5,11
"75","4339",11,7
"76","4341",15,11
"77","4342",14,14.5
"78","4343",10,5
"79","4344",14,14
"80","4347",14,13
"81","4348",8,9
"82","4350",14,10
"83","4352",1,14
"84","4353",9,10
"85","4355",13,14.5
"86","4356",9,10
"87","4357",8,8
"88","4359",15,15
"89","4360",8,9.5
"90","4362",11,10
"91","4363",13,15
"92","4364",14.5,16
"93","4367",14,15
"94","4371",8,9.5
"95","4372",9,6
"96","4373",15,14
"97","4374",15,13
"98","4376",10,9
"99","4379",7,8
"100","4380",7,6
"101","4382",7.5,6.5
"102","4383",6,7.5
"103","4384",12,9
"104","4390",13,12
"105","4391",6.5,8
"106","4394",12,12
"107","4396",11,8
"108","4397",13,5.5
"109","4400",5.5,5.5
"110","4404",15,9
"111","4406",4,9
"112","4407",11,7.5
"113","4408",12.5,4.5
"114","4410",9,10.5
"115","4411",9.5,8.5
"116","4413",14,13
"117","4419",7,5
"118","4421",8,2
"119","4423",13,13
"120","4426",13,9
"121","4428",14,15
"122","4429",13,9
"123","4430",13,11
"124","4431",12,10.5
"125","4432",12,10
"126","4433",14,13
"127","4435",12,12
"128","4436",10,13
"129","4437",12,8.5
"130","4440",9,8
"131","4447",11,11
"132","4448",14,14
"133","4449",14,9
"134","4450",12,12
"135","4451",10,10
"136","4452",14,12
"137","4453",9,7.5
"138","4454",13,5.5
"139","4455",14,8.5
"140","4456",9,9
"141","4457",6,7
"142","4458",14,13
"143","4459",14,9
"144","4460",13,4
"145","4461",12.5,14
"146","4465",8,9
"147","4467",5,6
"148","4476",9,7
"149","4478",5.5,6.5
"150","4479",12,7
"151","4482",4.5,8.5
"152","4485",12.5,7
"153","4488",5.5,5.5
"154","4490",1.5,4
"155","4492",4,6
"156","4494",2,14
"157","4495",6,7.5
"158","4498",6,5.5
"159","4499",6.5,6.5
"160","4500",14,13.5
"161","4501",4,6
"162","4502",9.5,9.5
"163","4503",7,7
"164","4505",5.5,7
"165","4507",15,7
"166","4509",9,5
"167","4513",1,3.5
"168","4514",8,7
"169","4515",6.5,4.5
"170","4517",13.5,14.5
"171","4518",7.5,7.5
"172","4524",10,9
"173","4531",7,6
"174","4533",12,7
"175","4535",5,8
"176","4536",7,9
"177","4537",8,11
"178","4540",12,11
"179","4543",8,9
"180","4545",8,5
"181","4546",9,14
"182","4549",9,6
"183","4550",6,9
"184","4558",7,7
"185","4559",13,5
"186","4562",7,8
"187","4564",14,12
"188","4566",7,10
"189","4568",10,6.5
"190","4571",4.5,11
"191","4574",5,8.5
"192","4578",6,8
"193","4585",6,9
"194","4586",7.5,8
"195","4589",13,9
"196","4592",13,12
"197","4598",13,9
"198","4599",9,10
"199","4602",8.5,6
"200","4606",8,8.5
"201","4607",13,8.5
"202","4608",6,5.5
"203","4609",6,4.5
"204","4610",4.5,6.5
"205","4616",8,4
"206","4617",7,6.5
"207","4619",9,9
"208","4626",7,9
"209","4627",8.5,7.5
"210","4656",6.5,5.5
"211","4668",13,14
"212","4686",7,3
"213","4693",4,3
"214","4697",10.5,4.5
"215","4702",6,6.5
"216","4704",13,6
"217","4710",9,9
"218","4712",12,8
"219","4716",9,5.5
"220","4717",13,9.5
"221","4720",15,8
"222","4722",9,7.5
"223","4723",13,12.5
"224","4725",14,14
"225","4727",11,6
"226","4730",13,9
"227","4737",7.5,5.5
"228","4739",8,7.5
"229","4740",13,9
"230","4743",6.5,5.5
"231","4746",7,6
"232","4748",2.5,7.5
"233","4750",1.5,6
"234","4752",2,16
"235","4753",10,4
"236","4754",3.5,2.5
"237","4755",6,5.5
"238","4755B",9.5,7.5
"239","4756",7,6.5
"240","4756B",14,14
"241","4758",11,8
"242","4760",14,7
"243","4761",12,7
"244","4762",6,7.5
"245","4763",8,8
"246","4764",13,21.5
"247","4765",12.5,4
"248","4767",13,11
"249","4768",15,24
"250","4770",10,10
"251","4771",6.5,15.5
"252","4773",9.5,4
"253","4775",9,5
"254","4777",13,8
"255","4778",7,8
"256","4779",13,8.5
"257","4780",13,15
"258","4781",14,16
"259","4782",10,6
"260","4783",10,8
"261","4784",13,9
"262","4785",13,14
"263","4786",14,10
"264","4787",11.5,3.5
"265","4789",14,11
"266","4795",14,14
"267","4799",6,5
"268","4801",5,6
"269","4802",14,13
"270","4803",12,13
"271","4805",7,4.5
"272","4806",10.5,12.5
"273","4807",6,9
"274","4813",12,11
"275","4815",4,9
"276","4816",4,7
"277","4817",7,5.5
"278","4819",5,3
"279","4821",6,8
"280","4822",6,8
"281","4824",12,13
"282","4825",4.5,5
"283","4826",12,6.5
"284","4828",12,13
"285","4829",10.5,10
"286","4830",13,12
"287","4831",9,9
"288","4832",5,5
"289","4833",5.5,4.5
"290","4836",15,11
"291","4838",8,11
"292","4839",8.5,9.5
"293","4845",8,9
"294","4846",14,14.5
"295","4848",14,6
"296","4850",6.5,4
"297","4855",11,8.5
"298","4860",6,6
"299","4861",11,8.5
"300","4862",13,14
"301","4863",11.5,8.5
"302","4868",6,8
"303","4869",15,14
"304","4870",12,6.5
"305","4871",9.5,6
"306","4874",7,6
"307","4878",13.5,16
"308","4879",16,24
"309","4880",14,11.5
"310","4884",14,16
"311","4885",15,13
"312","4886",13,7
"313","4887",13,12
"314","4888",12.5,15
"315","4896",14,15
"316","4897",14,14
"317","4898",14,19.5
"318","4899",14,20.5
"319","4900",14,14.5
"320","4901",13,14.5
"321","4902",13,9
"322","4903",8.5,7.5
"323","4904",14,15
"324","4906",15,13
"325","4907",8.5,7
"326","4908",16,15
"327","4909",14,15
"328","4910",12,11
"329","4911",14,15
"330","4912",13,12.5
"331","4913",13,8
"332","4914",14.5,14.5
"333","4917",12.5,16
"334","4919",14,13
"335","4920",9.5,8.5
"336","4921",12,8
"337","4922",10,10.5
"338","4926",14.5,14
"339","4927",15,12
