"","ID","X","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q24","Q08post","Q09Post","Q10post","Q11post","Q12post","Q13post","Q14Post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post"
"1","4219",4,1,1,1,0,1,1,1,0,0,1,0,0,1,0.5,1,0,1,1,1,0,1,0,0,0,0,1,0,0,NA,NA,1,0
"2","4224",5,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,0.5,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0
"3","4229",10,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
"4","4230",11,0,0.5,NA,1,1,1,1,1,1,1,NA,0,0,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"5","4232",12,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1
"6","4235",15,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,1,1,1,NA,NA,1,0,1,0,0,1,0,0,0,0,1,1,NA,1,1,1
"7","4236",16,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
"8","4240",18,1,1,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0
"9","4241",19,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"10","4242",20,1,1,1,0,1,1,0,1,0,1,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0
"11","4243",21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,NA,1,1,1,1,1,1,1,1,1,0,1,1,0
"12","4244",22,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,1,1,0
"13","4245",23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
"14","4246",24,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","4247",25,1,0,0,0,1,0,1,1,0,1,1,1,0.5,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"16","4248",26,1,1,0,0,1,1,1,NA,0,1,1,1,0.5,0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,0
"17","4249",27,1,0,0,1,1,1,1,1,1,1,1,1,0.5,1,1,0,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"18","4251",28,0,0.5,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA,1,0,NA,1,0,0,1,0,0,0,0,0,1,0,NA,0
"19","4254",31,1,0.5,NA,0,0,1,0.5,NA,0,1,0,0,0,0,NA,0,1,0,1,1,0,0,NA,NA,1,1,1,0,1,1,1,0
"20","4257",34,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0
"21","4258",35,1,1,1,0,1,1,0,1,0,1,1,1,0.5,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,NA,NA,1,0
"22","4259",36,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"23","4260",37,1,0,0,0,1,0,0,1,0,1,1,1,1,0.5,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,NA,1,1
"24","4261",38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"25","4264",40,1,0.5,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"26","4267",43,1,0.5,NA,0,1,0,1,1,0,1,1,1,1,0.5,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"27","4268",44,1,0,1,1,1,1,0.5,NA,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"28","4269",45,1,1,1,0,1,0,1,0,0,1,0,0,0,0.5,1,0,1,0,1,0,NA,1,NA,NA,1,1,0,0,0,NA,1,0
"29","4271",47,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
"30","4272",48,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,0,1,1,0,1,1,NA,NA,1,0
"31","4273",49,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"32","4275",50,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"33","4276",51,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"34","4277",52,1,1,0,0,1,0,0,1,0,1,0,1,1,0.5,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,NA,1,0
"35","4278",53,0,1,1,1,1,1,1,1,NA,0,1,1,1,0.5,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
"36","4279",54,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,0
"37","4279F",55,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
"38","4281",57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"39","4281F",58,1,0.5,NA,0,1,0,1,1,0,1,1,1,0,1,NA,1,1,NA,NA,0,1,0,1,1,0,0,0,0,0,0,0,0
"40","4283",61,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"41","4284",63,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
