"","X","ID","PostScore","PreScore","Gain"
"1",1,"4219",6,9.5,-3.5
"2",2,"4224",8,3.5,4.5
"3",3,"4229",10,9,1
"4",4,"4230",14,8.5,5.5
"5",5,"4232",12,8,4
"6",6,"4235",8,4,4
"7",7,"4236",7,7,0
"8",8,"4240",6.5,3,3.5
"9",9,"4241",14,12,2
"10",10,"4242",3,9.5,-6.5
"11",11,"4243",12,14,-2
"12",12,"4244",7,6,1
"13",13,"4245",11,15,-4
"14",14,"4246",16,13,3
"15",15,"4247",13,8.5,4.5
"16",16,"4248",12,11,1
"17",17,"4249",14.5,12.5,2
"18",18,"4251",4,2.5,1.5
"19",19,"4254",8.5,4,4.5
"20",20,"4257",10,6,4
"21",21,"4258",7,11.5,-4.5
"22",22,"4259",12,8,4
"23",23,"4260",10,9.5,0.5
"24",24,"4261",14,16,-2
"25",25,"4264",14,13.5,0.5
"26",26,"4267",11,10,1
"27",27,"4268",13,11.5,1.5
"28",28,"4269",6.5,7.5,-1
"29",29,"4271",15,13,2
"30",30,"4272",9,13,-4
"31",31,"4273",13,14,-1
"32",32,"4275",13,14,-1
"33",33,"4276",13,15,-2
"34",34,"4277",12,8.5,3.5
"35",35,"4278",11,11.5,-0.5
"36",36,"4279",14,24,-10
"37",37,"4281",14,24.5,-10.5
"38",38,"4283",5,6,-1
"39",39,"4284",6,7,-1
"40",40,"4285",12.5,13.5,-1
"41",41,"4286",11.5,11.5,0
"42",42,"4287",9,7,2
"43",43,"4288",13,12,1
"44",44,"4289",7,6,1
"45",45,"4290",14,14,0
"46",46,"4291",14,10,4
"47",47,"4293",8,6,2
"48",48,"4293F",9,6,3
"49",49,"4294",8.5,3.5,5
"50",50,"4294F",13,9,4
"51",51,"4295",15,12.5,2.5
"52",52,"4297",6,5.5,0.5
"53",53,"4299",8,4,4
"54",54,"4300",5.5,5,0.5
"55",55,"4301",8,10,-2
"56",56,"4302",13,4,9
"57",57,"4304",9,9,0
"58",58,"4305",6,7,-1
"59",59,"4309",14,9,5
"60",60,"4310",9,7,2
"61",61,"4313",10,9,1
"62",62,"4314",13,7,6
"63",63,"4315",12,12.5,-0.5
"64",64,"4316",7,8,-1
"65",65,"4318",4.5,7,-2.5
"66",66,"4319",7.5,8,-0.5
"67",67,"4321",7,7,0
"68",68,"4322",13,5.5,7.5
"69",69,"4324",16,15.5,0.5
"70",70,"4326",11,5,6
"71",71,"4327",14,12,2
"72",72,"4328",14,14,0
"73",73,"4334",10,10,0
"74",74,"4335",3.5,11,-7.5
"75",75,"4339",11,7,4
"76",76,"4341",15,11,4
"77",77,"4342",14,14.5,-0.5
"78",78,"4343",10,5,5
"79",79,"4344",14,14,0
"80",80,"4347",14,13,1
"81",81,"4348",8,9,-1
"82",82,"4350",14,10,4
"83",83,"4352",1,14,-13
"84",84,"4353",9,10,-1
"85",85,"4355",13,14.5,-1.5
"86",86,"4356",9,10,-1
"87",87,"4357",8,8,0
"88",88,"4359",15,15,0
"89",89,"4360",8,9.5,-1.5
"90",90,"4362",11,10,1
"91",91,"4363",13,15,-2
"92",92,"4364",14.5,16,-1.5
"93",93,"4367",14,15,-1
"94",94,"4371",8,9.5,-1.5
"95",95,"4372",9,6,3
"96",96,"4373",15,14,1
"97",97,"4374",15,13,2
"98",98,"4376",10,9,1
"99",99,"4379",7,8,-1
"100",100,"4380",7,6,1
"101",101,"4382",7.5,6.5,1
"102",102,"4383",6,7.5,-1.5
"103",103,"4384",12,9,3
"104",104,"4390",13,12,1
"105",105,"4391",6.5,8,-1.5
"106",106,"4394",12,12,0
"107",107,"4396",11,8,3
"108",108,"4397",13,5.5,7.5
"109",109,"4400",5.5,5.5,0
"110",110,"4404",15,9,6
"111",111,"4406",4,9,-5
