ID,Q07,Q08_imp,Q09_imp,Q10,Q11_imp,Q12_imp,Q13_imp,Q14,Q15_imp,Q16,Q17,Q18_imp,Q19_imp,Q20_imp,Q21_imp,Q22_imp,Q23_imp,Q24_imp,Q25_imp,Q26_imp,Q27_imp,Q28_imp,Q29_imp,Q31_imp,Q32_imp,Score
2919,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
4022,5,3,4,4,4,4,3,2,5,5,5,5,4,4,5,5,5,3,4,5,5,5,4,5,5,108
4219,4,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,4,5,5,5,5,5,5,118
4224,4,5,5,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,116
4229,4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,118
4230,5,4,5,5,5,5,4,5,5,3,4,4,4,5,4,4,4,4,4,5,5,5,4,5,5,112
4232,4,4,4,5,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,100
4235,3,4,4,5,5,5,3,5,5,4,5,5,5,4,4,5,4,5,5,5,3,4,5,5,4,111
4236,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,4,4,102
4240,3,4,2,4,4,3,3,3,1,1,3,1,3,2,3,2,2,2,1,4,3,2,3,4,4,67
4241,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,120
4242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
4243,3,4,4,4,2,4,4,3,3,3,4,3,4,4,5,4,4,4,4,4,4,4,3,5,4,94
4244,5,2,1,3,2,5,5,3,1,4,4,5,5,4,4,4,4,5,1,2,4,5,4,5,4,91
4245,4,4,4,4,5,5,5,4,3,5,5,4,3,4,4,3,5,4,4,5,5,4,4,4,5,106
4246,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,2,4,1,4,4,4,4,4,4,90
4247,5,5,5,5,4,5,5,5,3,5,4,4,4,4,5,4,5,5,1,5,5,5,5,4,5,112
4248,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,122
4249,5,4,5,4,5,4,5,4,4,5,5,4,4,5,5,5,4,5,5,4,4,4,5,4,4,112
4250,5,4,4,5,5,5,5,5,3,4,4,4,3,5,4,4,4,5,1,5,5,5,5,5,5,109
4251,4,3,4,4,1,2,1,3,4,4,3,2,2,2,2,2,1,1,1,4,1,3,1,2,1,58
4254,3,4,5,4,5,5,4,3,5,4,5,5,4,4,3,4,5,5,1,5,4,5,5,5,5,107
4257,5,5,5,5,5,5,5,5,3,3,4,4,3,3,3,4,3,4,1,5,5,4,3,5,5,102
4258,4,4,5,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,115
4259,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,117
4260,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,5,4,5,5,118
4261,4,4,4,5,4,4,5,4,3,5,4,4,2,3,4,4,4,5,1,5,5,4,4,4,5,100
4262,4,3,5,5,4,5,5,4,5,3,5,4,3,4,4,5,5,4,1,5,5,5,5,5,5,108
4264,4,4,4,4,5,4,4,4,3,5,3,3,4,5,4,4,5,4,5,5,5,4,4,5,5,106
4267,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,111
4268,3,3,4,5,3,4,3,3,5,5,5,5,3,4,3,5,5,5,4,4,5,5,4,5,5,105
4269,4,4,4,5,5,5,4,4,2,3,3,5,4,3,3,4,4,3,3,4,5,4,4,5,5,99
4271,2,2,5,4,4,4,1,4,5,4,5,5,5,3,3,4,5,5,4,4,5,5,5,5,5,103
4272,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,98
4273,5,5,4,5,4,4,4,4,5,4,4,5,5,3,5,5,5,5,1,5,5,5,5,5,5,112
4274,4,4,5,4,4,4,4,4,4,4,5,5,3,4,4,5,5,5,5,5,4,4,5,5,4,109
4275,5,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,115
4276,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,1,5,5,5,5,5,5,109
4277,3,4,5,4,5,4,5,4,4,2,3,4,4,4,2,3,4,3,1,5,5,4,3,5,5,95
4278,2,2,3,3,3,4,4,2,5,4,3,3,3,3,2,4,3,3,3,4,5,3,2,4,4,81
4279,4,4,4,4,3,5,4,4,4,4,4,4,2,3,4,4,5,4,4,4,4,4,4,4,4,98
4281,4,3,4,4,4,4,4,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,98
4282,4,3,4,5,5,4,4,5,1,4,2,4,4,4,4,3,4,4,4,4,4,5,4,4,4,97
4283,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,102
4284,4,4,3,4,4,4,4,5,3,4,4,4,3,4,4,3,3,3,1,4,3,4,3,4,5,91
4285,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,5,4,1,4,4,5,5,4,5,105
4286,4,3,3,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,1,4,4,4,4,4,4,88
4287,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,5,1,5,5,5,1,5,5,113
4288,4,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,5,5,113
4289,4,4,4,4,4,5,4,3,4,4,4,4,4,3,5,4,4,3,1,4,4,4,3,3,4,94
4290,5,5,5,5,4,4,5,4,4,4,4,3,3,4,4,5,4,4,4,5,5,4,4,4,4,106
4291,2,4,5,5,4,4,4,4,2,2,3,2,4,4,1,3,3,2,2,5,5,4,3,4,4,85
4293,4,4,4,4,4,3,4,4,3,3,5,4,4,3,4,4,3,5,5,5,5,3,4,4,4,99
4294,3,3,3,4,4,4,4,4,4,4,5,5,4,3,3,4,5,4,3,4,5,4,4,5,4,99
4295,2,2,2,3,3,3,4,2,1,3,4,2,5,4,3,2,4,2,3,4,4,4,3,4,4,77
4297,4,5,3,4,3,5,3,3,3,4,4,5,4,4,4,4,4,3,4,5,4,4,4,5,5,100
4299,5,4,5,5,4,5,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,115
4300,4,3,4,3,3,4,4,3,5,2,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,107
4301,5,4,4,4,4,5,4,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,115
4302,3,3,4,4,5,5,5,5,3,4,4,5,4,4,5,4,5,4,4,5,5,5,4,5,5,109
4304,5,4,5,5,5,4,5,5,5,4,4,4,5,4,5,4,5,5,4,5,4,4,5,4,4,113
4305,3,3,4,4,4,4,2,3,2,4,3,3,2,4,4,4,4,4,3,4,3,4,2,4,3,84
4306,4,3,3,4,5,5,5,3,5,3,4,2,4,4,5,4,4,3,3,4,5,4,4,5,5,100
4309,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,123
4310,4,4,4,5,5,5,3,5,4,4,5,5,3,4,5,5,5,5,4,5,5,5,3,5,5,112
4313,3,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,89
4314,3,3,3,4,4,5,4,4,3,3,4,4,2,3,4,2,5,4,4,4,5,4,5,5,5,96
4315,4,5,5,5,4,5,5,5,5,5,1,5,4,5,4,5,5,5,5,4,5,5,5,5,5,116
4316,3,3,4,4,3,4,3,3,4,3,4,5,3,3,3,4,4,3,2,3,3,4,4,3,4,86
4318,3,4,3,3,3,4,4,3,4,5,5,5,3,4,4,4,4,4,3,4,5,4,4,4,5,98
4319,4,3,4,4,4,5,5,4,3,4,4,4,4,5,5,4,5,5,5,5,4,4,4,5,5,108
4321,3,4,4,4,2,4,3,5,5,3,4,4,4,5,3,4,4,5,5,4,5,4,3,3,5,99
4322,5,3,3,3,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,114
4323,4,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,118
4324,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,122
