U_ID,ID,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q31,Q32,Average
A2,4242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
A108,4452,1,4,1,1,3,5,4,1,5,4,1,5,4,1,2,5,5,5,1,5,1,5,1,1,1,2.88
A280,4754,1,3,4,4,4,4,4,5,4,4,3,4,3,3,3,3,4,3,3,5,4,4,4,4,4,3.64
A327,4784,1,3,4,3,1,4,4,3,2,2,3,3,4,4,2,5,4,2,1,4,4,3,1,5,4,3.04
A323,2919,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.16
A34,4271,2,2,5,4,4,4,1,4,5,4,5,5,5,3,3,4,5,5,4,4,5,5,5,5,5,4.12
A41,4278,2,2,3,3,3,4,4,2,5,4,3,3,3,3,2,4,3,3,3,4,5,3,2,4,4,3.24
A39,4291,2,4,5,5,4,4,4,4,2,2,3,2,4,4,1,3,3,2,2,5,5,4,3,4,4,3.4
A146,4360,2,4,4,4,4,4,4,3,1,3,4,3,1,3,2,2,4,2,3,4,4,4,2,4,4,3.16
A309,4295,2,2,2,3,3,3,4,2,1,3,4,2,5,4,3,2,4,2,3,4,4,4,3,4,4,3.08
A346,4838,2,3,4,3,4,4,4,4,4,4,1,2,2,3,1,4,1,2,4,4,4,3,4,4,3,3.12
A351,4850,2,3,4,4,4,4,4,3,3,4,2,3,2,3,4,3,3,2,4,4,4,4,3,4,4,3.36
A392,4880,2,3,5,5,5,5,5,4,3,4,5,4,3,2,2,5,5,5,5,5,5,5,5,5,5,4.28
A393,4913,2,3,5,4,3,4,4,4,4,4,3,3,4,4,5,4,5,4,3,5,4,5,3,4,4,3.88
A4,4254,3,4,5,4,5,5,4,3,5,4,5,5,4,4,3,4,5,5,NA,5,4,5,5,5,5,4.41666666666667
A20,4277,3,4,5,4,5,4,5,4,4,2,3,4,4,4,2,3,4,3,NA,5,5,4,3,5,5,3.91666666666667
A29,4268,3,3,4,5,3,4,3,3,5,5,5,5,3,4,3,5,5,5,4,4,5,5,4,5,5,4.2
A26,4243,3,4,4,4,2,4,4,3,3,3,4,3,4,4,5,4,4,4,4,4,4,4,3,5,4,3.76
A36,4240,3,4,2,4,4,3,3,3,1,1,3,1,3,2,3,2,2,2,NA,4,3,NA,3,4,4,2.78260869565217
A49,4321,3,4,4,4,2,4,3,5,5,3,4,4,4,5,3,4,4,5,5,4,5,4,3,3,5,3.96
A50,4294,3,3,3,4,4,4,4,4,4,4,5,5,4,3,3,4,5,4,3,4,5,4,4,5,4,3.96
A58,4313,3,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,3.56
A56,4302,3,3,4,4,5,5,5,5,3,4,4,5,4,4,5,4,5,4,4,5,5,5,4,5,5,4.36
A51,4318,3,4,3,3,3,4,4,3,4,5,5,5,3,4,4,4,4,4,3,4,5,4,4,4,5,3.92
A70,4362,3,4,4,3,4,4,4,3,3,4,5,5,4,3,4,4,5,4,4,5,5,5,4,5,5,4.12
A94,4400,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,5,3.96
A98,4408F,3,4,4,5,4,4,4,3,3,5,4,4,4,3,4,4,4,4,4,5,5,4,4,5,5,4.08
A103,4435,3,3,2,3,4,4,4,2,4,3,5,4,4,4,4,5,4,4,4,3,3,4,3,5,3,3.64
A110,4457,3,4,4,4,4,5,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,5,4,4,4
A123,4377,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,5,5,4.04
A122,4382,3,3,4,4,4,4,3,3,3,2,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3.6
A206,4381,3,2,4,3,2,4,4,2,3,3,4,3,2,3,4,3,2,2,5,5,4,3,4,4,4,3.28
A115,4391,3,3,3,4,3,4,3,4,2,3,3,3,3,4,3,3,4,3,3,4,4,2,3,4,4,3.28
A142,4431,3,3,3,4,3,4,4,3,3,5,5,5,5,3,4,4,5,4,4,4,4,4,4,3,4,3.88
A143,4432,3,4,3,4,3,4,3,3,1,3,3,4,4,3,2,4,4,3,4,4,3,4,4,4,3,3.36
A162,45719,3,2,4,2,2,4,4,2,2,2,3,4,3,3,3,3,3,2,3,4,4,4,2,4,4,3.04
A161,4558,3,5,4,4,4,5,4,4,4,4,5,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3.96
A170,4551,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4.24
A165,4550,3,4,4,4,3,4,3,4,3,4,3,4,4,4,5,4,5,4,4,4,5,4,4,5,5,4
