Row Labels,Average of RTc,Average of EFF,Average of ACC,Per Correct,Eff2
4807,0.37,280.64,0.85,85.19,231.16
4707,0.40,251.97,0.93,92.59,230.26
4661,0.40,277.19,0.89,88.89,224.17
4648,0.17,3982.57,0.38,37.50,216.51
4344,0.42,244.04,0.88,87.96,211.19
4784,0.43,253.24,0.90,89.81,210.70
4660,0.00,#DIV/0!,0.13,12.96,#DIV/0!
4866,0.26,2661.50,0.55,54.63,208.96
4417,0.00,#DIV/0!,0.14,13.54,#DIV/0!
4902,0.00,#DIV/0!,0.17,16.67,#DIV/0!
4779,0.41,247.02,0.84,84.26,206.24
4357,0.35,294.65,0.70,70.37,201.61
4824I ,0.44,219.57,0.88,87.96,199.20
4331,0.41,247.21,0.81,80.95,198.65
4272,0.00,#DIV/0!,0.19,19.44,#DIV/0!
4365,0.42,231.94,0.83,83.33,196.66
4579,0.44,232.40,0.86,86.11,195.42
4753,0.47,215.65,0.91,90.74,191.15
4643,0.44,248.37,0.84,84.26,189.44
4461,0.35,325.69,0.66,65.74,185.43
4796,0.41,259.79,0.75,75.00,184.32
4805,0.44,255.70,0.81,80.56,182.77
4714,0.48,205.55,0.88,87.96,181.59
4873,0.39,991.05,0.69,68.52,177.75
4553,0.46,229.05,0.80,79.63,173.56
4669,0.47,236.07,0.81,81.48,173.21
4537,0.45,263.00,0.77,76.85,171.35
4341,0.52,209.79,0.89,88.89,169.95
4563,0.41,257.90,0.69,69.44,168.90
4449,0.51,211.65,0.86,86.11,168.36
4539,0.54,212.74,0.91,90.74,168.25
4851,0.48,219.54,0.81,81.48,168.22
4390,0.54,199.98,0.90,89.81,167.58
4802,0.52,203.22,0.88,87.96,167.57
4353F,0.48,221.96,0.81,80.56,167.55
4505,0.53,199.11,0.88,87.96,167.22
4261,0.51,224.74,0.85,85.19,166.75
4812,0.46,251.63,0.76,75.93,165.83
4394,0.49,217.94,0.81,81.48,165.83
4329,0.54,186.02,0.89,88.89,165.77
4911,0.52,219.17,0.86,86.11,164.53
4746B,0.56,176.44,0.91,90.74,162.75
4763B,0.55,202.60,0.89,88.89,162.49
4276,0.57,170.00,0.92,91.67,159.61
4540,0.59,164.36,0.94,93.52,157.98
4637,0.55,195.28,0.86,86.11,157.91
4833,0.51,235.59,0.81,80.56,157.67
4455,0.56,179.89,0.88,87.96,157.33
4849,0.49,253.50,0.77,76.85,156.57
4765,0.51,212.31,0.80,79.63,155.15
4730,0.56,181.26,0.86,86.11,154.34
4453,0.58,179.33,0.90,89.62,154.02
4636,0.57,220.10,0.88,87.64,153.60
4759,0.60,174.61,0.93,92.59,153.29
4295,0.52,218.20,0.79,78.70,152.43
4335,0.56,199.29,0.85,85.19,152.40
4257,0.60,168.40,0.91,90.74,152.29
4327,0.60,183.43,0.92,91.67,151.90
4415,0.57,191.13,0.87,87.04,151.41
4556,0.53,206.95,0.80,79.63,150.70
4543,0.60,164.33,0.91,90.65,150.55
4436,0.49,216.71,0.74,73.83,150.11
4708,0.62,168.57,0.93,92.59,149.74
4847,0.54,211.37,0.80,79.63,147.88
4498,0.49,221.44,0.72,72.22,147.27
4698,0.61,171.16,0.90,89.81,147.06
4791,0.49,218.73,0.71,71.30,146.63
4948,0.53,208.90,0.78,77.78,146.60
4913,0.62,184.80,0.91,90.74,145.90
4270,0.60,226.64,0.87,87.04,145.15
4326F,0.52,205.94,0.75,75.00,144.77
4682,0.55,218.34,0.80,79.63,144.76
