"","ID","Score","MG_Mean","TV_Mean","SE_Mean"
"1","4268",102,3,5,5
"2","4264",102,4,3.5,5
"3","4258",111,4,5,5
"4","4248",118,4,5,5
"5","4274",105,4,4.5,4.5
"6","4260",114,4.5,4.5,5
"7","4271",101,3,4.5,5
"8","4243",91,3,3.5,4
"9","4249",107,4.5,4.5,4
"10","4269",95,4,3,4.5
"11","4278",79,2,4.5,3.5
"12","4288",109,4,4.5,4.5
"13","4290",101,4.5,4.5,4
"14","4291",83,3,2.5,3.5
"15","4282",93,4.5,2,4
"16","4304",108,5,4.5,4.5
"17","4321",96,4,4.5,4.5
"18","4322",109,4.5,4.5,4
"19","4294",96,3.5,4,4.5
"20","4310",108,4.5,4.5,5
"21","4309",118,5,5,5
"22","4306",96,3.5,4.5,4.5
"23","4313",86,3,4,4
"24","4315",112,4.5,5,5
"25","4299",110,4.5,4.5,4.5
"26","4319",104,4,3.5,5
"27","4302",106,4,3.5,5
"28","4300",103,3.5,4.5,5
"29","4301",110,4.5,4,5
"30","4318",95,3,4,4.5
"31","4362",100,3,3.5,5
"32","4343",118,4,5,5
"33","4333",92,4,3,3.5
"34","4327",105,5,4,4.5
"35","4368F",99,4,4,4.5
"36","4367",106,4.5,3.5,5
"37","4359",103,4.5,4,5
"38","4347",115,4.5,5,4.5
"39","4323",114,4.5,4.5,5
"40","4356",100,3.5,3,5
"41","4339",99,3.5,4.5,4.5
"42","4373",105,3.5,4,5
"43","4348",102,4,3.5,5
"44","4355",88,4,3,4
"45","4324",117,4.5,5,5
"46","4342",107,5,4.5,5
"47","4352",120,5,5,5
"48","4328",109,4.5,4,5
"49","4364",91,4,4,4
"50","4413",86,4,3,4.5
"51","4415",87,4,3.5,4
"52","4421",101,4,4.5,5
"53","4410",106,4,4.5,5
"54","4411",95,3.5,3.5,5
"55","4396",114,4.5,5,5
"56","4404",95,4.5,3,4.5
"57","4022",103,3.5,5,5
"58","4422",120,5,5,5
"59","4419C",84,3.5,3,4
"60","4418",107,4,4,5
"61","4407",101,5,4,5
"62","4406",99,4,3.5,4.5
"63","4397",100,4,3.5,5
"64","4400",96,3,4,4.5
"65","4417",107,4,3.5,5
"66","4408F",99,3,3.5,4.5
"67","4447",112,4.5,4.5,5
"68","4459",103,5,3.5,4.5
"69","4448",107,4.5,4.5,4.5
"70","4453",99,4,4,5
"71","4454",90,4,3,4.5
