"","ID","Gender","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q31","Q32","total"
"1","2919","Female",1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29
"2","4022","Male",5,3,4,4,4,4,3,2,5,5,5,5,4,4,5,5,5,3,4,5,5,5,4,5,5,108
"3","4219","Male",4,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,4,5,5,5,5,5,5,118
"4","4224","Female",4,5,5,5,4,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,116
"5","4229","Female",4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,118
"6","4230","Female",5,4,5,5,5,5,4,5,5,3,4,4,4,5,4,4,4,4,4,5,5,5,4,5,5,112
"7","4232","Male",4,4,4,5,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,100
"8","4235","Male",3,4,4,5,5,5,3,5,5,4,5,5,5,4,4,5,4,5,5,5,3,4,5,5,4,111
"9","4236","Male",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,4,4,102
"10","4240","Male",3,4,2,4,4,3,3,3,1,1,3,1,3,2,3,2,2,2,3,4,3,3,3,4,4,70
"11","4241","Male",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,124
"12","4242","Male",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
"13","4243","Female",3,4,4,4,2,4,4,3,3,3,4,3,4,4,5,4,4,4,4,4,4,4,3,5,4,94
"14","4244","Male",5,2,1,3,2,5,5,3,1,4,4,5,5,4,4,4,4,5,4,2,4,5,4,5,4,94
"15","4245","Female",4,4,4,4,5,5,5,4,3,5,5,4,3,4,4,3,5,4,4,5,5,4,4,4,5,106
"16","4246","Male",4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,2,4,3,4,4,4,4,4,4,92
"17","4247","Male",5,5,5,5,4,5,5,5,3,5,4,4,4,4,5,4,5,5,5,5,5,5,5,4,5,116
"18","4248","Female",4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,122
"19","4249","Female",5,4,5,4,5,4,5,4,4,5,5,4,4,5,5,5,4,5,5,4,4,4,5,4,4,112
"20","4250","Male",5,4,4,5,5,5,5,5,3,4,4,4,3,5,4,4,4,5,5,5,5,5,5,5,5,113
"21","4251","Female",4,3,4,4,5,4,3,3,4,4,3,5,3,4,2,3,4,4,5,4,4,5,5,4,4,97
"22","4254","Female",3,4,5,4,5,5,4,3,5,4,5,5,4,4,3,4,5,5,5,5,4,5,5,5,5,111
"23","4257","Female",5,5,5,5,5,5,5,5,3,3,4,4,3,3,3,4,3,4,4,5,5,4,3,5,5,105
"24","4258","Male",4,4,5,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,115
"25","4259","Female",5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,121
"26","4260","Male",4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,5,4,5,5,118
"27","4261","Female",4,4,5,5,4,4,5,4,3,5,4,4,2,3,4,4,4,5,5,5,5,4,4,4,5,105
"28","4262","Female",4,3,5,5,4,5,5,4,5,3,5,4,3,4,4,5,5,4,5,5,5,5,5,5,5,112
"29","4264","Male",4,4,4,4,5,4,4,4,3,5,3,3,4,5,4,4,5,4,5,5,5,4,4,5,5,106
"30","4267","Female",5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,116
"31","4268","Female",3,3,4,5,3,4,3,3,5,5,5,5,3,4,3,5,5,5,4,4,5,5,4,5,5,105
"32","4269","Female",4,4,4,5,5,5,4,4,2,3,3,5,4,3,3,4,4,3,3,4,5,4,4,5,5,99
"33","4271","Male",2,2,5,4,4,4,1,4,5,4,5,5,5,3,3,4,5,5,4,4,5,5,5,5,5,103
"34","4272","Male",4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,98
"35","4273","Male",5,5,4,5,4,4,4,4,5,4,4,5,5,3,5,5,5,5,4,5,5,5,5,5,5,115
"36","4274","Male",4,4,5,4,4,4,4,4,4,4,5,5,3,4,4,5,5,5,5,5,4,4,5,5,4,109
"37","4275","Male",5,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,119
"38","4276","Male",4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,113
"39","4277","Male",3,4,5,4,5,4,5,4,4,2,3,4,4,4,2,3,4,3,4,5,5,4,3,5,5,98
"40","4278","Male",2,2,3,3,3,4,4,2,5,4,3,3,3,3,2,4,3,3,3,4,5,3,2,4,4,81
"41","4279","Male",4,4,4,4,3,5,4,4,4,4,4,4,2,3,4,4,5,4,4,4,4,4,4,4,4,98
"42","4281","Male",4,3,4,4,4,4,4,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,98
"43","4282","Male",4,3,4,5,5,4,4,5,1,4,2,4,4,4,4,3,4,4,4,4,4,5,4,4,4,97
"44","4283","Female",4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,102
"45","4284","Female",4,4,3,4,4,4,4,5,3,4,4,4,3,4,4,3,3,3,3,4,3,4,3,4,5,93
"46","4285","Female",4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,5,5,4,5,109
