"","Q1","Q2","Q3","Q4","Question","Response","score"
"1","4246","helicopter","blue","Male","Q7","Agree",4
"2","4246","helicopter","blue","Male","Q8","Agree",4
"3","4246","helicopter","blue","Male","Q9","Agree",4
"4","4246","helicopter","blue","Male","Q10","Agree",4
"5","4246","helicopter","blue","Male","Q11","Agree",4
"6","4246","helicopter","blue","Male","Q12","Agree",4
"7","4246","helicopter","blue","Male","Q13","Agree",4
"8","4246","helicopter","blue","Male","Q14","Agree",4
"9","4246","helicopter","blue","Male","Q15","Agree",4
"10","4246","helicopter","blue","Male","Q16","Not sure",3
"11","4246","helicopter","blue","Male","Q17","Not sure",3
"12","4246","helicopter","blue","Male","Q18","Not sure",3
"13","4246","helicopter","blue","Male","Q19","Agree",4
"14","4246","helicopter","blue","Male","Q20","Not sure",3
"15","4246","helicopter","blue","Male","Q21","Agree",4
"16","4246","helicopter","blue","Male","Q22","Not sure",3
"17","4246","helicopter","blue","Male","Q23","Disagree",2
"18","4246","helicopter","blue","Male","Q24","Agree",4
"19","4246","helicopter","blue","Male","Q26","Agree",4
"20","4246","helicopter","blue","Male","Q27","Agree",4
"21","4246","helicopter","blue","Male","Q28","Agree",4
"22","4246","helicopter","blue","Male","Q29","Agree",4
"23","4246","helicopter","blue","Male","Q31","Agree",4
"24","4246","helicopter","blue","Male","Q32","Agree",4
"25","4242","girraffe","blue                     ","Male","Q7","Strongly disagree",1
"26","4242","girraffe","blue                     ","Male","Q8","Strongly disagree",1
"27","4242","girraffe","blue                     ","Male","Q9","Strongly disagree",1
"28","4242","girraffe","blue                     ","Male","Q10","Strongly disagree",1
"29","4242","girraffe","blue                     ","Male","Q11","Strongly disagree",1
"30","4242","girraffe","blue                     ","Male","Q12","Strongly disagree",1
"31","4242","girraffe","blue                     ","Male","Q13","Strongly disagree",1
"32","4242","girraffe","blue                     ","Male","Q14","Strongly disagree",1
"33","4242","girraffe","blue                     ","Male","Q15","Strongly disagree",1
"34","4242","girraffe","blue                     ","Male","Q16","Strongly disagree",1
"35","4242","girraffe","blue                     ","Male","Q17","Strongly disagree",1
"36","4242","girraffe","blue                     ","Male","Q18","Strongly disagree",1
"37","4242","girraffe","blue                     ","Male","Q19","Strongly disagree",1
"38","4242","girraffe","blue                     ","Male","Q20","Strongly disagree",1
"39","4242","girraffe","blue                     ","Male","Q21","Strongly disagree",1
"40","4242","girraffe","blue                     ","Male","Q22","Strongly disagree",1
"41","4242","girraffe","blue                     ","Male","Q23","Strongly disagree",1
"42","4242","girraffe","blue                     ","Male","Q24","Strongly disagree",1
"43","4242","girraffe","blue                     ","Male","Q26","Strongly disagree",1
"44","4242","girraffe","blue                     ","Male","Q27","Strongly disagree",1
"45","4242","girraffe","blue                     ","Male","Q28","Strongly disagree",1
"46","4242","girraffe","blue                     ","Male","Q29","Strongly disagree",1
"47","4242","girraffe","blue                     ","Male","Q31","Strongly disagree",1
"48","4242","girraffe","blue                     ","Male","Q32","Strongly disagree",1
"49","4267","star fish","blue","Female","Q8","Agree",4
"50","4267","star fish","blue","Female","Q9","Agree",4
"51","4267","star fish","blue","Female","Q10","Agree",4
"52","4267","star fish","blue","Female","Q11","Agree",4
"53","4267","star fish","blue","Female","Q12","Agree",4
"54","4267","star fish","blue","Female","Q13","Agree",4
"55","4267","star fish","blue","Female","Q14","Agree",4
"56","4267","star fish","blue","Female","Q15","Agree",4
"57","4267","star fish","blue","Female","Q16","Strongly agree",5
"58","4267","star fish","blue","Female","Q17","Strongly agree",5
"59","4267","star fish","blue","Female","Q18","Strongly agree",5
"60","4267","star fish","blue","Female","Q19","Strongly agree",5
"61","4267","star fish","blue","Female","Q20","Agree",4
"62","4267","star fish","blue","Female","Q21","Strongly agree",5
"63","4267","star fish","blue","Female","Q22","Strongly agree",5
"64","4267","star fish","blue","Female","Q23","Strongly agree",5
"65","4267","star fish","blue","Female","Q24","Strongly agree",5
"66","4267","star fish","blue","Female","Q26","Strongly agree",5
"67","4267","star fish","blue","Female","Q27","Strongly agree",5
"68","4267","star fish","blue","Female","Q28","Strongly agree",5
"69","4267","star fish","blue","Female","Q29","Strongly agree",5
"70","4267","star fish","blue","Female","Q31","Strongly agree",5
"71","4267","star fish","blue","Female","Q32","Strongly agree",5
"72","4254","Octopus ","Blue ","Female","Q7","Not sure",3
"73","4254","Octopus ","Blue ","Female","Q8","Agree",4
"74","4254","Octopus ","Blue ","Female","Q9","Strongly agree",5
"75","4254","Octopus ","Blue ","Female","Q10","Agree",4
"76","4254","Octopus ","Blue ","Female","Q11","Strongly agree",5
"77","4254","Octopus ","Blue ","Female","Q12","Strongly agree",5
"78","4254","Octopus ","Blue ","Female","Q13","Agree",4
"79","4254","Octopus ","Blue ","Female","Q14","Not sure",3
"80","4254","Octopus ","Blue ","Female","Q15","Strongly agree",5
"81","4254","Octopus ","Blue ","Female","Q16","Agree",4
"82","4254","Octopus ","Blue ","Female","Q17","Strongly agree",5
"83","4254","Octopus ","Blue ","Female","Q18","Strongly agree",5
"84","4254","Octopus ","Blue ","Female","Q19","Agree",4
"85","4254","Octopus ","Blue ","Female","Q20","Agree",4
"86","4254","Octopus ","Blue ","Female","Q21","Not sure",3
"87","4254","Octopus ","Blue ","Female","Q22","Agree",4
"88","4254","Octopus ","Blue ","Female","Q23","Strongly agree",5
"89","4254","Octopus ","Blue ","Female","Q24","Strongly agree",5
"90","4254","Octopus ","Blue ","Female","Q26","Strongly agree",5
"91","4254","Octopus ","Blue ","Female","Q27","Agree",4
"92","4254","Octopus ","Blue ","Female","Q28","Strongly agree",5
"93","4254","Octopus ","Blue ","Female","Q29","Strongly agree",5
"94","4254","Octopus ","Blue ","Female","Q31","Strongly agree",5
"95","4254","Octopus ","Blue ","Female","Q32","Strongly agree",5
"96","4247","hippo","blue","Male","Q7","Strongly agree",5
"97","4247","hippo","blue","Male","Q8","Strongly agree",5
"98","4247","hippo","blue","Male","Q9","Strongly agree",5
"99","4247","hippo","blue","Male","Q10","Strongly agree",5
"100","4247","hippo","blue","Male","Q11","Agree",4
"101","4247","hippo","blue","Male","Q12","Strongly agree",5
"102","4247","hippo","blue","Male","Q13","Strongly agree",5
"103","4247","hippo","blue","Male","Q14","Strongly agree",5
"104","4247","hippo","blue","Male","Q15","Not sure",3
"105","4247","hippo","blue","Male","Q16","Strongly agree",5
"106","4247","hippo","blue","Male","Q17","Agree",4
"107","4247","hippo","blue","Male","Q18","Agree",4
"108","4247","hippo","blue","Male","Q19","Agree",4
"109","4247","hippo","blue","Male","Q20","Agree",4
"110","4247","hippo","blue","Male","Q21","Strongly agree",5
"111","4247","hippo","blue","Male","Q22","Agree",4
"112","4247","hippo","blue","Male","Q23","Strongly agree",5
"113","4247","hippo","blue","Male","Q24","Strongly agree",5
"114","4247","hippo","blue","Male","Q26","Strongly agree",5
"115","4247","hippo","blue","Male","Q27","Strongly agree",5
"116","4247","hippo","blue","Male","Q28","Strongly agree",5
"117","4247","hippo","blue","Male","Q29","Strongly agree",5
"118","4247","hippo","blue","Male","Q31","Agree",4
"119","4247","hippo","blue","Male","Q32","Strongly agree",5
"120","4241","Frog","blue","Male","Q7","Strongly agree",5
"121","4241","Frog","blue","Male","Q8","Strongly agree",5
"122","4241","Frog","blue","Male","Q9","Strongly agree",5
"123","4241","Frog","blue","Male","Q10","Strongly agree",5
"124","4241","Frog","blue","Male","Q11","Strongly agree",5
"125","4241","Frog","blue","Male","Q12","Strongly agree",5
"126","4241","Frog","blue","Male","Q13","Strongly agree",5
"127","4241","Frog","blue","Male","Q14","Strongly agree",5
"128","4241","Frog","blue","Male","Q15","Agree",4
"129","4241","Frog","blue","Male","Q16","Strongly agree",5
"130","4241","Frog","blue","Male","Q17","Strongly agree",5
"131","4241","Frog","blue","Male","Q18","Strongly agree",5
"132","4241","Frog","blue","Male","Q19","Strongly agree",5
"133","4241","Frog","blue","Male","Q20","Strongly agree",5
"134","4241","Frog","blue","Male","Q21","Strongly agree",5
"135","4241","Frog","blue","Male","Q22","Strongly agree",5
"136","4241","Frog","blue","Male","Q23","Strongly agree",5
"137","4241","Frog","blue","Male","Q24","Strongly agree",5
"138","4241","Frog","blue","Male","Q26","Strongly agree",5
"139","4241","Frog","blue","Male","Q27","Strongly agree",5
"140","4241","Frog","blue","Male","Q28","Strongly agree",5
"141","4241","Frog","blue","Male","Q29","Strongly agree",5
"142","4241","Frog","blue","Male","Q31","Strongly agree",5
"143","4241","Frog","blue","Male","Q32","Strongly agree",5
"144","4244","gorilla","blue","Male","Q7","Strongly agree",5
"145","4244","gorilla","blue","Male","Q8","Disagree",2
"146","4244","gorilla","blue","Male","Q9","Strongly disagree",1
"147","4244","gorilla","blue","Male","Q10","Not sure",3
"148","4244","gorilla","blue","Male","Q11","Disagree",2
"149","4244","gorilla","blue","Male","Q12","Strongly agree",5
"150","4244","gorilla","blue","Male","Q13","Strongly agree",5
"151","4244","gorilla","blue","Male","Q14","Not sure",3
"152","4244","gorilla","blue","Male","Q15","Strongly disagree",1
"153","4244","gorilla","blue","Male","Q16","Agree",4
"154","4244","gorilla","blue","Male","Q17","Agree",4
"155","4244","gorilla","blue","Male","Q18","Strongly agree",5
"156","4244","gorilla","blue","Male","Q19","Strongly agree",5
"157","4244","gorilla","blue","Male","Q20","Agree",4
"158","4244","gorilla","blue","Male","Q21","Agree",4
"159","4244","gorilla","blue","Male","Q22","Agree",4
"160","4244","gorilla","blue","Male","Q23","Agree",4
"161","4244","gorilla","blue","Male","Q24","Strongly agree",5
"162","4244","gorilla","blue","Male","Q26","Disagree",2
"163","4244","gorilla","blue","Male","Q27","Agree",4
"164","4244","gorilla","blue","Male","Q28","Strongly agree",5
"165","4244","gorilla","blue","Male","Q29","Agree",4
